ST,PUMA,YEAR,Telework
17,3203,2007,0.059469054
6,2101,2011,0.018230563
51,900,2011,0.058514078
53,1402,2011,0.031394082
13,3400,2009,0.033001581
42,903,2010,0.028325865
17,3514,2011,0.043422537
,12,2000,0.031518576
,50,2001,0.06875524
29,901,2005,0.041778354
29,1400,2005,0.038064111
29,2300,2005,0.062620278
29,1500,2005,0.029412142
42,1703,2006,0.013822089
42,901,2006,0.021328511
42,4103,2006,0.008267023
42,2700,2006,0.047346492
42,4108,2006,0.022316627
46,500,2006,0.140397985
47,2900,2006,0.016625121
48,2800,2008,0.022930571
48,4611,2008,0.030478747
48,100,2008,0.045588808
48,5800,2008,0.05409594
48,4614,2008,0.030474613
48,4603,2009,0.056077072
48,3702,2009,0.018004154
48,5610,2009,0.027212725
48,4611,2009,0.012227336
48,2511,2009,0.07092039
48,2505,2009,0.025843002
48,2308,2009,0.016253366
48,4902,2009,0.026556431
48,3100,2009,0.044295983
48,6500,2009,0.031729268
53,1805,2007,0.037797114
53,2003,2007,0.061737034
53,1403,2007,0.047854415
54,1000,2007,0.023036997
1,901,2008,0.008894912
1,500,2008,0.021885072
1,1000,2008,0.024322856
48,2501,2006,0.030110982
48,5304,2006,0.073994843
48,2502,2006,0.01988795
48,2201,2006,0.060766246
48,2506,2006,0.034945809
48,3600,2006,0.05066171
48,2310,2006,0.029084137
8,804,2006,0.067338916
8,300,2006,0.068850567
8,103,2006,0.04366344
8,815,2006,0.051478701
9,100,2006,0.030293872
36,4017,2009,0.029518772
36,2900,2009,0.030065314
36,4002,2009,0.030501931
36,4112,2009,0.012861226
36,3903,2009,0.028197118
36,700,2009,0.031096368
36,3704,2009,0.018699063
36,402,2009,0.021372525
36,4303,2009,0.021020339
36,4306,2009,0.029395195
36,3101,2009,0.053151511
20,900,2009,0.052090573
12,2604,2010,0.049123662
12,2603,2010,0.045505799
12,2703,2010,0.072774389
12,1902,2010,0.038869345
12,4010,2010,0.034548516
36,1004,2010,0.066240961
36,4011,2010,0.011850481
36,1200,2010,0.032415358
36,4103,2010,0.023295658
36,4309,2010,0.029489416
36,3502,2010,0.023177437
28,1600,2013,0.025429576
28,100,2013,0.016006974
28,1000,2013,0.021295753
18,1803,2013,0.082302139
18,103,2013,0.017957824
18,101,2013,0.010828993
18,3500,2013,0.047902559
18,402,2013,0.03097561
20,602,2013,0.041653396
20,802,2013,0.041788971
20,601,2013,0.032667246
20,1000,2013,0.029692703
4,106,2013,0.042597613
4,120,2013,0.051123441
4,102,2013,0.04575316
4,114,2013,0.044844429
4,600,2013,0.027746933
4,128,2013,0.040340814
40,1102,2014,0.023951372
25,3603,2016,0.021699108
25,2800,2016,0.044271162
25,302,2016,0.074414014
26,1400,2016,0.039008649
26,2901,2016,0.057701153
42,400,2017,0.0521076
42,2001,2017,0.044796856
42,3503,2017,0.057978254
42,3211,2017,0.042654265
55,1601,2016,0.045496241
55,1001,2016,0.041944803
55,2500,2016,0.046812196
36,2203,2017,0.065720463
36,2202,2017,0.019965817
36,2300,2017,0.089134313
36,403,2017,0.048850191
36,3001,2017,0.023318043
36,2100,2017,0.058340198
36,3104,2017,0.084073964
48,502,2017,0.040328722
48,2315,2017,0.032856407
48,3602,2017,0.038260696
48,4902,2017,0.068187461
48,4603,2017,0.042610503
48,200,2017,0.031513599
48,3100,2017,0.033471069
48,5308,2017,0.132857864
48,2309,2017,0.063254212
48,6807,2017,0.053642914
48,4702,2017,0.052414149
48,3301,2017,0.052512268
48,5907,2017,0.039868461
48,5307,2017,0.076260123
48,4100,2017,0.018164918
48,2506,2017,0.024025297
48,2303,2017,0.032081139
8,700,2017,0.028182568
8,811,2017,0.117318174
8,822,2017,0.134574121
8,4101,2017,0.061013253
9,902,2017,0.052989975
9,1300,2017,0.061717376
39,4500,2018,0.045925298
39,100,2018,0.012080371
39,4300,2018,0.039001771
39,400,2018,0.011083868
39,610,2005,0.039499318
39,3900,2005,0.027495985
