,YEAR,STATE,COUNTY,LNMILES,Data_cat
610,2000,17.0,79.0,2134.42,1
611,2000,17.0,81.0,2929.31,1
612,2000,17.0,83.0,1371.24,1
613,2000,17.0,85.0,2179.59,1
614,2000,17.0,87.0,1167.44,1
615,2000,17.0,89.0,4519.11,1
616,2000,17.0,91.0,3460.87,1
617,2000,17.0,93.0,1546.66,1
618,2000,17.0,95.0,3300.43,1
619,2000,17.0,97.0,5863.99,1
620,2000,17.0,99.0,5397.01,1
621,2000,17.0,101.0,1688.46,1
622,2000,17.0,103.0,3047.76,1
623,2000,17.0,105.0,4609.24,1
624,2000,17.0,107.0,2705.16,1
625,2000,17.0,109.0,2557.0,1
626,2000,17.0,111.0,3718.79,1
627,2000,17.0,113.0,5889.75,1
628,2000,17.0,115.0,3575.94,1
629,2000,17.0,117.0,3555.98,1
630,2000,17.0,119.0,5387.12,1
631,2000,17.0,121.0,2899.69,1
632,2000,17.0,123.0,1515.96,1
633,2000,17.0,125.0,1919.98,1
634,2000,17.0,127.0,1034.86,1
635,2000,17.0,129.0,1165.38,1
636,2000,17.0,131.0,2105.66,1
637,2000,17.0,133.0,1400.96,1
638,2000,17.0,135.0,3182.98,1
639,2000,17.0,137.0,2447.23,1
640,2000,17.0,139.0,1475.66,1
641,2000,17.0,141.0,3213.08,1
642,2000,17.0,143.0,3987.98,1
643,2000,17.0,145.0,1564.04,1
644,2000,17.0,147.0,1944.68,1
645,2000,17.0,149.0,3067.0,1
646,2000,17.0,151.0,903.3,1
647,2000,17.0,153.0,809.76,1
648,2000,17.0,155.0,644.44,1
649,2000,17.0,157.0,2094.02,1
650,2000,17.0,159.0,1785.96,1
651,2000,17.0,161.0,2915.86,1
652,2000,17.0,163.0,4911.51,1
653,2000,17.0,165.0,1739.14,1
654,2000,17.0,167.0,5133.33,1
655,2000,17.0,169.0,1592.15,1
656,2000,17.0,171.0,937.12,1
657,2000,17.0,173.0,3326.72,1
658,2000,17.0,175.0,1104.3,1
659,2000,17.0,177.0,2624.93,1
660,2000,17.0,179.0,3531.97,1
661,2000,17.0,181.0,1396.33,1
662,2000,17.0,183.0,4227.12,1
663,2000,17.0,185.0,910.07,1
664,2000,17.0,187.0,2320.72,1
665,2000,17.0,189.0,2109.21,1
666,2000,17.0,191.0,3128.95,1
667,2000,17.0,193.0,2307.92,1
668,2000,17.0,195.0,3054.57,1
669,2000,17.0,197.0,6156.96,1
670,2000,17.0,199.0,2405.8,1
671,2000,17.0,201.0,4731.01,1
672,2000,17.0,203.0,2314.7,1
673,2000,18.0,1.0,1781.94,1
674,2000,18.0,3.0,5564.5,1
675,2000,18.0,5.0,2194.4,1
676,2000,18.0,7.0,1750.16,1
677,2000,18.0,9.0,863.42,1
678,2000,18.0,11.0,2281.5,1
679,2000,18.0,13.0,909.12,1
680,2000,18.0,15.0,1828.32,1
681,2000,18.0,17.0,2293.41,1
682,2000,18.0,19.0,1882.05,1
683,2000,18.0,21.0,1789.6,1
684,2000,18.0,23.0,2038.72,1
685,2000,18.0,25.0,1204.2,1
686,2000,18.0,27.0,1998.24,1
687,2000,18.0,29.0,1480.05,1
688,2000,18.0,31.0,1674.76,1
689,2000,18.0,33.0,1980.56,1
690,2000,18.0,35.0,2873.66,1
691,2000,18.0,37.0,1846.22,1
692,2000,18.0,39.0,3540.15,1
693,2000,18.0,41.0,966.5,1
694,2000,18.0,43.0,1134.36,1
695,2000,18.0,45.0,1792.78,1
696,2000,18.0,47.0,1512.74,1
697,2000,18.0,49.0,1915.12,1
