YEAR,STATE,COUNTY,LNMILES
2000,16,33,"1,167"
2000,16,35,"2,097"
2000,16,37,"2,302"
2000,16,39,"3,005"
2000,16,41,"1,173"
2000,16,43,"2,315"
2000,16,45,947
2000,16,47,"1,413"
2000,16,49,"6,266"
2000,16,51,"1,878"
2000,16,53,"1,571"
2000,16,55,"4,010"
2000,16,57,"2,513"
2000,16,59,"2,169"
2000,16,61,"1,286"
2000,16,63,"1,103"
2000,16,65,"1,118"
2000,16,67,"1,573"
2000,16,69,"1,908"
2000,16,71,"1,467"
2000,16,73,"2,574"
2000,16,75,"1,077"
2000,16,77,"1,937"
2000,16,79,"3,288"
2000,16,81,844
2000,16,83,"3,254"
2000,16,85,"3,169"
2000,16,87,"1,544"
2000,17,1,"3,762"
2000,17,3,885
2000,17,5,"1,714"
2000,17,7,"1,366"
2000,17,9,"1,039"
2000,17,11,"3,685"
2000,17,13,713
2000,17,15,"1,647"
2000,17,17,"1,186"
2000,17,19,"5,602"
2000,17,21,"3,153"
2000,17,23,"2,341"
2000,17,25,"2,012"
2000,17,27,"2,096"
2000,17,29,"2,602"
2000,17,31,"26,027"
2000,17,33,"1,919"
2000,17,35,"1,706"
2000,17,37,"2,864"
2000,17,39,"1,747"
2000,17,41,"1,927"
2000,17,43,"7,133"
2000,17,45,"2,525"
2000,17,47,911
2000,17,49,"2,457"
2000,17,51,"3,116"
2000,17,53,"2,113"
2000,17,55,"2,394"
2000,17,57,"3,092"
2000,17,59,"1,071"
2000,17,61,"1,818"
2000,17,63,"1,897"
2000,17,65,"1,863"
2000,17,67,"3,209"
2000,17,69,550
2000,17,71,"1,292"
2000,17,73,"3,625"
2000,17,75,"4,899"
2000,17,77,"2,272"
2000,17,79,"2,134"
2000,17,81,"2,929"
2000,17,83,"1,371"
2000,17,85,"2,180"
2000,17,87,"1,167"
2000,17,89,"4,519"
2000,17,91,"3,461"
2000,17,93,"1,547"
2000,17,95,"3,300"
2000,17,97,"5,864"
2000,17,99,"5,397"
2000,17,101,"1,688"
2000,17,103,"3,048"
2000,17,105,"4,609"
2000,17,107,"2,705"
2000,17,109,"2,557"
2000,17,111,"3,719"
2000,17,113,"5,890"
2000,17,115,"3,576"
2000,17,117,"3,556"
2000,17,119,"5,387"
2000,17,121,"2,900"
2000,17,123,"1,516"
2000,17,125,"1,920"
2000,17,127,"1,035"
2000,17,129,"1,165"
2000,17,131,"2,106"
2000,17,133,"1,401"
2000,17,135,"3,183"
2000,17,137,"2,447"
2000,17,139,"1,476"
2000,17,141,"3,213"
2000,17,143,"3,988"
2000,17,145,"1,564"
2000,17,147,"1,945"
2000,17,149,"3,067"
2000,17,151,903
2000,17,153,810
2000,17,155,644
2000,17,157,"2,094"
2000,17,159,"1,786"
2000,17,161,"2,916"
2000,17,163,"4,912"
2000,17,165,"1,739"
2000,17,167,"5,133"
2000,17,169,"1,592"
2000,17,171,937
2000,17,173,"3,327"
2000,17,175,"1,104"
2000,17,177,"2,625"
2000,17,179,"3,532"
2000,17,181,"1,396"
2000,17,183,"4,227"
2000,17,185,910
2000,17,187,"2,321"
2000,17,189,"2,109"
2000,17,191,"3,129"
2000,17,193,"2,308"
2000,17,195,"3,055"
2000,17,197,"6,157"
2000,17,199,"2,406"
2000,17,201,"4,731"
2000,17,203,"2,315"
2000,18,1,"1,782"
2000,18,3,"5,565"
2000,18,5,"2,194"
2000,18,7,"1,750"
2000,18,9,863
2000,18,11,"2,282"
2000,18,13,909
2000,18,15,"1,828"
2000,18,17,"2,293"
2000,18,19,"1,882"
2000,18,21,"1,790"
2000,18,23,"2,039"
2000,18,25,"1,204"
2000,18,27,"1,998"
2000,18,29,"1,480"
2000,18,31,"1,675"
2000,18,33,"1,981"
2000,18,35,"2,874"
2000,18,37,"1,846"
2000,18,39,"3,540"
2000,18,41,967
2000,18,43,"1,134"
2000,18,45,"1,793"
2000,18,47,"1,513"
2000,18,49,"1,915"
2000,18,51,"2,523"
2000,18,53,"2,569"
2000,18,55,"2,297"
2000,18,57,"3,270"
2000,18,59,"1,861"
2000,18,61,"2,048"
2000,18,63,"2,381"
2000,18,65,"2,269"
2000,18,67,"1,995"
2000,18,69,"2,045"
2000,18,71,"2,098"
2000,18,73,"2,373"
2000,18,75,"1,864"
2000,18,77,"1,500"
2000,18,79,"1,556"
2000,18,81,"2,086"
2000,18,83,"2,471"
2000,18,85,"3,066"
2000,18,87,"1,938"
2000,18,89,"5,538"
2000,18,91,"3,525"
2000,18,93,"1,903"
2000,18,95,"3,235"
2000,18,97,"7,751"
2000,18,99,"2,520"
2000,18,101,943
2000,18,103,"2,078"
2000,18,105,"2,041"
2000,18,107,"2,250"
2000,18,109,"1,954"
2000,18,111,"1,735"
2000,18,113,"2,087"
2000,18,115,350
2000,18,117,"1,503"
2000,18,119,"1,469"
2000,18,121,"1,755"
2000,18,123,"1,403"
2000,18,125,"1,369"
2000,18,127,"2,955"
2000,18,129,"1,806"
2000,18,131,"2,011"
2000,18,133,"1,973"
2000,18,135,"2,152"
2000,18,137,"1,884"
2000,18,139,"1,767"
2000,18,141,"4,203"
2000,18,143,934
2000,18,145,"2,113"
2000,18,147,"1,908"
2000,18,149,"1,707"
2000,18,151,"1,766"
2000,18,153,"2,195"
2000,18,155,924
2000,18,157,"2,828"
2000,18,159,"1,356"
2000,18,161,650
2000,18,163,"2,499"
2000,18,165,"1,233"
2000,18,167,"2,814"
2000,18,169,"1,960"
2000,18,171,"1,417"
2000,18,173,"1,886"
2000,18,175,"1,884"
2000,18,177,"2,312"
2000,18,179,"1,796"
2000,18,181,"2,308"
2000,18,183,"1,678"
2000,19,1,"2,349"
2000,19,3,"1,594"
2000,19,5,"2,083"
2000,19,7,"1,935"
2000,19,9,"1,696"
2000,19,11,"2,989"
2000,19,13,"3,628"
2000,19,15,"2,488"
2000,19,17,"1,907"
2000,19,19,"2,346"
2000,19,21,"2,410"
2000,19,23,"2,280"
2000,19,25,"2,336"
2000,19,27,"2,454"
2000,19,29,"2,346"
2000,19,31,"2,291"
2000,19,33,"2,804"
2000,19,35,"2,305"
2000,19,37,"1,960"
2000,19,39,"1,580"
2000,19,41,"2,290"
2000,19,43,"2,612"
2000,19,45,"2,917"
2000,19,47,"2,878"
2000,19,49,"2,570"
2000,19,51,"1,816"
2000,19,53,"1,913"
2000,19,55,"2,261"
2000,19,57,"1,860"
2000,19,59,"1,674"
2000,19,61,"2,664"
2000,19,63,"1,555"
2000,19,65,"2,822"
2000,19,67,"2,169"
2000,19,69,"2,353"
2000,19,71,"1,940"
2000,19,73,"2,283"
2000,19,75,"1,973"
2000,19,77,"2,213"
2000,19,79,"2,383"
2000,19,81,"2,286"
2000,19,83,"2,439"
2000,19,85,"2,654"
2000,19,87,"1,884"
2000,19,89,"1,702"
2000,19,91,"1,714"
2000,19,93,"1,658"
2000,19,95,"2,251"
2000,19,97,"2,127"
2000,19,99,"3,186"
2000,19,101,"1,753"
2000,19,103,"2,977"
2000,19,105,"2,069"
2000,19,107,"2,263"
2000,19,109,"3,787"
2000,19,111,"2,145"
2000,19,113,"4,543"
2000,19,115,"1,398"
2000,19,117,"1,562"
2000,19,119,"2,254"
2000,19,121,"2,071"
2000,19,123,"2,401"
2000,19,125,"2,292"
2000,19,127,"2,497"
2000,19,129,"1,690"
2000,19,131,"1,793"
2000,19,133,"2,552"
2000,19,135,"1,425"
2000,19,137,"1,759"
2000,19,139,"1,850"
2000,19,141,"2,397"
2000,19,143,"1,631"
2000,19,145,"2,260"
2000,19,147,"2,164"
2000,19,149,"3,350"
2000,19,151,"2,315"
2000,19,153,"5,719"
2000,19,155,"4,430"
2000,19,157,"2,443"
2000,19,159,"2,022"
2000,19,161,"2,400"
2000,19,163,"3,149"
2000,19,165,"2,226"
2000,19,167,"3,276"
2000,19,169,"2,958"
2000,19,171,"2,740"
2000,19,173,"2,097"
2000,19,175,"1,723"
2000,19,177,"1,745"
2000,19,179,"2,017"
2000,19,181,"2,389"
2000,19,183,"2,302"
2000,19,185,"1,930"
2000,19,187,"3,078"
2000,19,189,"1,657"
2000,19,191,"2,489"
2000,19,193,"4,201"
2000,19,195,"1,607"
2000,19,197,"2,296"
2000,20,1,"2,191"
2000,20,3,"2,192"
2000,20,5,"1,820"
2000,20,7,"2,009"
2000,20,9,"3,781"
2000,20,11,"2,434"
2000,20,13,"2,418"
2000,20,15,"5,103"
2000,20,17,"1,307"
2000,20,19,"1,457"
2000,20,21,"2,557"
2000,20,23,"2,429"
2000,20,25,"1,522"
2000,20,27,"2,429"
2000,20,29,"2,772"
2000,20,31,"2,471"
2000,20,33,"1,379"
2000,20,35,"3,658"
2000,20,37,"2,834"
2000,20,39,"2,479"
2000,20,41,"3,552"
2000,20,43,"1,443"
2000,20,45,"2,518"
