STATE_CODE,COUNTY_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2,70,,,,,,,,,,,,,,,457.857,459.148,968.348,965.682,983.326,370.536,368.528
2,90,,,,,,,,,,,,,,,3652.172,4136.25,3426.559,3513.619,4419.333,4555.274,4507.6
2,99,,,,,,,,,,,,9103.778,14537.056,13829.008,,,,,,,
2,100,,,,,,,,,,,,,,,373.495,377.412,308.88,309.092,345.352,341.944,341.736
2,105,,,,,,,,,,,,,,,254.849,256.146,270.31,263.794,256.546,267.616,270.508
2,110,,,,,,,,,,,,,,,488.064,501.12,424.498,430.732,449.146,448.415,447.539
2,122,,,,,,,,,,,,,,,4072.407,4268.881,3559.684,3560.126,4419.754,4398.394,4392.146
2,130,,,,,,,,,,,,,,,442.724,429.649,327.888,336.325,347.515,327.934,322.828
2,150,,,,,,,,,,,,,,,486.391,513.74,423.136,426.898,409.308,413.802,407.7
2,164,,,,,,,,,,,,,,,1089.714,1097.662,,,,,
2,170,,,,,,,,,,,,,,,4594.662,4886.911,4272.715,4271.416,4853.086,4847.3,4855.62
2,180,,,,,,,,,,,,,,,1294.392,1301.294,985.482,986.358,1028.544,1029.018,1029.018
2,185,,,,,,,,,,,,,,,711.001,702.274,631.676,633.6,643.374,610.38,610.38
2,188,,,,,,,,,,,,,,,850.158,851.006,591.254,591.056,608.318,758.558,847.528
2,195,,,,,,,,,,,,,,,713.698,712.45,786.308,531.822,524.508,569.684,569.34
2,198,,,,,,,,,,,,,,,1879.94,1879.884,1312.06,1563.11,1616.224,1503.642,1458.444
2,220,,,,,,,,,,,,,,,104.503,112.056,96.299,103.198,119.042,120.724,118.616
2,230,,,,,,,,,,,,,,,103.28,102.816,79.804,84.28,90.656,81.316,81.314
2,240,,,,,,,,,,,,,,,2956.603,2956.979,1940.938,1827.588,2061.931,2157.62,2168.64
2,261,,,,,,,,,,,,,,,2036.59,2043.207,1724.621,1753.945,1846.49,1841.77,1848.382
2,270,,,,,,,,,,,,,,,387.214,388.184,,,,,
