YEAR,STATE_CODE,COUNTY_CODE,LNMILES
2000,13.0,167.0,1076.4
2000,13.0,169.0,1169.07
2000,13.0,171.0,864.04
2000,13.0,173.0,659.5
2000,13.0,175.0,3335.33
2000,13.0,177.0,1048.34
2000,13.0,179.0,1062.4
2000,13.0,181.0,722.8
2000,13.0,183.0,653.42
2000,13.0,185.0,2758.64
2000,13.0,187.0,958.45
2000,13.0,189.0,1045.65
2000,13.0,191.0,672.42
2000,13.0,193.0,1221.14
2000,13.0,195.0,1385.44
2000,13.0,197.0,900.24
2000,13.0,199.0,1687.39
2000,13.0,201.0,992.92
2000,13.0,205.0,1888.43
2000,13.0,207.0,1393.5
2000,13.0,209.0,918.2
2000,13.0,211.0,1251.6
2000,13.0,213.0,1198.6
2000,13.0,215.0,2234.14
2000,13.0,217.0,1740.02
2000,13.0,219.0,914.56
2000,13.0,221.0,1146.86
2000,13.0,223.0,1629.24
2000,13.0,225.0,807.89
2000,13.0,227.0,969.6
2000,13.0,229.0,1498.94
2000,13.0,231.0,890.38
2000,13.0,233.0,1413.38
2000,13.0,235.0,823.57
2000,13.0,237.0,1187.45
2000,13.0,239.0,383.96
2000,13.0,241.0,1085.62
2000,13.0,243.0,1046.52
2000,13.0,245.0,2516.32
2000,13.0,247.0,1179.68
2000,13.0,249.0,470.7
2000,13.0,251.0,1631.8
2000,13.0,253.0,966.02
2000,13.0,255.0,1402.31
2000,13.0,257.0,1046.77
2000,13.0,259.0,883.7
2000,13.0,261.0,1594.71
2000,13.0,263.0,915.55
2000,13.0,265.0,491.3
2000,13.0,267.0,1915.53
2000,13.0,269.0,1144.61
2000,13.0,271.0,1265.45
2000,13.0,273.0,1051.74
2000,13.0,275.0,2113.11
2000,13.0,277.0,1624.2
2000,13.0,279.0,1662.45
2000,13.0,281.0,550.24
2000,13.0,283.0,880.8
2000,13.0,285.0,2009.76
2000,13.0,287.0,1135.68
2000,13.0,289.0,919.36
2000,13.0,291.0,1148.21
2000,13.0,293.0,1216.18
2000,13.0,295.0,1844.14
2000,13.0,297.0,1815.11
2000,13.0,299.0,2112.51
2000,13.0,301.0,898.42
2000,13.0,303.0,1951.07
2000,13.0,305.0,1927.91
2000,13.0,307.0,541.04
2000,13.0,309.0,851.98
2000,13.0,311.0,877.2
2000,13.0,313.0,2074.16
2000,13.0,315.0,1235.34
2000,13.0,317.0,1168.73
2000,13.0,319.0,1053.38
2000,13.0,321.0,2116.22
2000,15.0,1.0,2954.54
2000,15.0,3.0,3840.18
2000,15.0,7.0,828.94
2000,15.0,9.0,1632.37
2000,16.0,1.0,4071.811
2000,16.0,3.0,2037.1
2000,16.0,5.0,2468.928
2000,16.0,7.0,1437.274
2000,16.0,9.0,1377.526
2000,16.0,11.0,3777.886
2000,16.0,13.0,1697.856
2000,16.0,15.0,1396.819
2000,16.0,17.0,2757.995
2000,16.0,19.0,3090.429
2000,16.0,21.0,1215.068
2000,16.0,23.0,1089.204
2000,16.0,25.0,985.012
2000,16.0,27.0,3494.521
2000,16.0,29.0,2086.586
2000,16.0,31.0,3225.424
2000,16.0,33.0,1167.002
2000,16.0,35.0,2096.708
2000,16.0,37.0,2301.912
2000,16.0,39.0,3005.466
2000,16.0,41.0,1173.066
2000,16.0,43.0,2314.56
2000,16.0,45.0,946.962
2000,16.0,47.0,1413.436
2000,16.0,49.0,6266.393
2000,16.0,51.0,1878.028
2000,16.0,53.0,1570.639
2000,16.0,55.0,4010.494
2000,16.0,57.0,2512.791
2000,16.0,59.0,2168.974
2000,16.0,61.0,1285.97
2000,16.0,63.0,1102.888
2000,16.0,65.0,1118.404
2000,16.0,67.0,1573.082
2000,16.0,69.0,1907.763
2000,16.0,71.0,1466.648
2000,16.0,73.0,2573.8
2000,16.0,75.0,1076.714
2000,16.0,77.0,1937.164
2000,16.0,79.0,3288.434
2000,16.0,81.0,844.31
2000,16.0,83.0,3254.052
2000,16.0,85.0,3168.622
2000,16.0,87.0,1544.153
2000,17.0,1.0,3762.28
2000,17.0,3.0,884.52
2000,17.0,5.0,1713.78
2000,17.0,7.0,1366.26
2000,17.0,9.0,1038.82
2000,17.0,11.0,3685.49
2000,17.0,13.0,712.62
2000,17.0,15.0,1647.0
2000,17.0,17.0,1185.78
2000,17.0,19.0,5602.27
2000,17.0,21.0,3153.32
2000,17.0,23.0,2340.66
2000,17.0,25.0,2011.68
2000,17.0,27.0,2095.57
2000,17.0,29.0,2602.34
2000,17.0,31.0,26027.32
2000,17.0,33.0,1919.15
2000,17.0,35.0,1706.08
2000,17.0,37.0,2863.77
2000,17.0,39.0,1747.32
2000,17.0,41.0,1926.78
2000,17.0,43.0,7132.8
2000,17.0,45.0,2525.22
2000,17.0,47.0,911.4
2000,17.0,49.0,2457.21
2000,17.0,51.0,3115.7
2000,17.0,53.0,2112.74
2000,17.0,55.0,2394.4
2000,17.0,57.0,3092.08
2000,17.0,59.0,1071.46
2000,17.0,61.0,1817.52
2000,17.0,63.0,1896.56
2000,17.0,65.0,1862.92
2000,17.0,67.0,3209.08
2000,17.0,69.0,550.08
2000,17.0,71.0,1292.08
2000,17.0,73.0,3625.2
2000,17.0,75.0,4899.14
2000,17.0,77.0,2272.19
2000,17.0,79.0,2134.42
2000,17.0,81.0,2929.31
2000,17.0,83.0,1371.24
2000,17.0,85.0,2179.59
2000,17.0,87.0,1167.44
2000,17.0,89.0,4519.11
2000,17.0,91.0,3460.87
2000,17.0,93.0,1546.66
2000,17.0,95.0,3300.43
2000,17.0,97.0,5863.99
2000,17.0,99.0,5397.01
2000,17.0,101.0,1688.46
2000,17.0,103.0,3047.76
2000,17.0,105.0,4609.24
