state,fips state code,tribal name,data category,emissions type code,scc,reporting period,emissions operating type,pollutant code,pollutant desc,total emissions,emissions uom,data set
,,Nez Perce Tribe of Idaho,ON,,2202520080,A,R,1330207,Xylenes (Mixed Isomers),81.8518,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201510080,A,R,SO2,Sulfur Dioxide,.000243877,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201510080,A,R,108883,Toluene,2.48824,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202320080,A,R,107028,Acrolein,3.09654,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201540080,A,R,110543,Hexane,9.61314,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202210080,A,R,NH3,Ammonia,.0012623,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202520080,A,R,123386,Propionaldehyde,6.31928,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201320080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.0167857,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201320080,A,R,VOC,Volatile Organic Compounds,.692832,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201510080,A,R,1330207,Xylenes (Mixed Isomers),.247744,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2203420080,A,R,540841,"2,2,4-Trimethylpentane",0,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202620080,A,R,108883,Toluene,208.138,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201420080,A,R,106990,"1,3-Butadiene",.00241276,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202000062,A,R,110543,Hexane,9.82846,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202620080,A,R,71432,Benzene,43.0818,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202540080,A,R,108883,Toluene,.376736,LB,2014NEIV2
