state_and_county_fips_code,total_emissions,YEAR
72071,98339.85531807759,2014
72073,36835.1401745884,2014
72075,103886.521677042,2014
72077,90008.9718308638,2014
72079,46551.4017373002,2014
72081,60295.6496531899,2014
72083,18623.55591954073,2014
72085,85691.7664561084,2014
72087,63234.4787585845,2014
72089,36507.34900295291,2014
72091,91836.5971647768,2014
72093,13585.69605104031,2014
72095,25803.36183715851,2014
72097,182180.8429977596,2014
72099,86063.0160566321,2014
72101,70427.01734957,2014
72103,58711.1692770736,2014
72105,66089.36974724679,2014
72107,47657.3188370796,2014
72109,36455.538142655896,2014
72111,43181.0220259488,2014
72113,339169.169398493,2014
72115,55457.544530556996,2014
72117,33899.89095290767,2014
72119,116908.1496160476,2014
72121,45466.86827263291,2014
72123,70628.8969477788,2014
72125,69605.8269554506,2014
72127,843155.9666575516,2014
72129,87001.2523523604,2014
72131,87829.7749302882,2014
72133,54623.301934791896,2014
72135,167743.6183411878,2014
72137,190812.4350533946,2014
72139,160238.94279456692,2014
72141,72447.0417626174,2014
72143,87364.962123278,2014
72145,125098.8385440962,2014
72147,22284.512638215463,2014
72149,45346.4240715537,2014
72151,80086.8688673303,2014
72153,72435.90319795889,2014
78010,133142.500556117,2014
78020,11873.72559294163,2014
78030,140223.5125467221,2014
1001,455316.18045967905,2014
1003,1953097.84254522,2014
1005,208706.02084409058,2014
1007,157777.27451252,2014
1009,423537.69782005,2014
1011,78242.277483631,2014
1013,372404.392975579,2014
1015,807871.922718582,2014
1017,275626.96547703806,2014
1019,180999.22536945998,2014
1021,540527.537087011,2014
1023,100518.77080646637,2014
1025,186161.2030340509,2014
1027,85678.535084948,2014
1029,283090.397365173,2014
1031,333822.8240447,2014
1033,429977.58277802,2014
1035,283936.0037892324,2014
1037,106034.613907247,2014
1039,278352.9749230522,2014
1041,126643.867352343,2014
1043,752877.2614943569,2014
1045,397862.52422771,2014
1047,273861.59369938,2014
1049,552923.06536638,2014
1051,558208.50740703,2014
1053,420682.38570786,2014
1055,757314.713252348,2014
1057,105697.003651626,2014
1059,195482.882223712,2014
1061,182302.156763226,2014
1063,233099.623888657,2014
1065,111822.513437289,2014
1067,153041.10023524,2014
1069,757006.9185882,2014
1071,400830.59719371,2014
1073,5530953.13890569,2014
1075,88687.007401658,2014
1077,580170.674316852,2014
1079,268843.438198254,2014
1081,1042587.1450305401,2014
1083,843239.26512034,2014
1085,247564.738793337,2014
1087,378080.101389517,2014
1089,2412080.988250038,2014
1091,180359.47798531,2014
1093,306268.970867683,2014
1095,585015.54118031,2014
1097,3213559.81602162,2014
1099,140039.03763267,2014
1101,1967871.85355884,2014
1103,914438.40583843,2014
1105,60750.954279486,2014
1107,144461.901067191,2014
1109,289941.750729102,2014
1111,137234.60339902,2014
1113,409715.28519928997,2014
1115,879036.65065783,2014
1117,1502925.97190285,2014
1119,246724.98309037002,2014
1121,701199.59395366,2014
1123,305675.29774916946,2014
1125,1748153.23288418,2014
1127,565420.68181347,2014
1129,152079.44473638805,2014
1131,86658.152600941,2014
1133,143731.158794803,2014
12001,1857469.387660062,2014
12003,260961.68131354402,2014
12005,1043585.4605778581,2014
12007,198073.38877186825,2014
12009,3181108.0906657074,2014
12011,10121961.68062505,2014
12013,86995.762879161,2014
12015,1007785.9654485991,2014
12017,688858.99556915,2014
12019,834122.6268867999,2014
12021,2157621.62956699,2014
12023,768696.2650119686,2014
12027,200440.632601749,2014
12029,96139.302232589,2014
12031,5736025.385165799,2014
12033,1789580.1893066901,2014
12035,597348.54099752,2014
12037,77243.14126459979,2014
12039,406761.97584727,2014
12041,101689.841419346,2014
12043,104661.77089693,2014
12045,94827.73210571399,2014
12047,306114.02703857736,2014
12049,167340.19327311617,2014
12051,228311.15654449,2014
12053,889708.3911660666,2014
12055,509723.42856454104,2014
12057,7955948.24361767,2014
12059,144776.4922783774,2014
12061,936726.69384416,2014
12063,472139.39661945,2014
12065,201182.63353762068,2014
12067,52029.556202939995,2014
12069,1726266.79389164,2014
12071,3791842.8752376297,2014
12073,1682687.95817863,2014
12075,263770.10575701186,2014
12077,44637.66609993,2014
12079,273546.8260389078,2014
12081,1954107.4661791602,2014
12083,2241037.67547792,2014
12085,1218026.59292468,2014
12086,13544763.6566764,2014
12087,676894.95942585,2014
12089,608644.93724486,2014
12091,1300117.46755207,2014
12093,281536.91139441397,2014
12095,7499339.973320811,2014
12097,2090605.821037928,2014
12099,7854761.761956041,2014
12101,2485396.163230946,2014
12103,5291043.3181379,2014
12105,3470188.94129653,2014
12107,377123.63039305585,2014
12109,1603443.158523359,2014
12111,1631461.33930905,2014
12113,914154.2620546101,2014
12115,2532229.26947762,2014
