"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","3256","-",,59,"H",,1101
"01","3256","C","D",0,"D","D",0
"01","3256","S",,57,"H",,966
"01","3256","P","D",0,"D","D",0
"01","3259","-",,20,"G",,1224
"01","3259","Z","D",0,"D","D",0
"01","3259","S",,17,"G",,960
"01","326","-",,55,"G",,2627
"01","326","C","D",0,"D","D",0
"01","326","Z",,6,"H",,676
"01","326","S",,43,"G",,1547
"01","326","P","D",0,"D","D",0
"01","327","-",,95,"G",,4994
"01","327","Z",,7,"H",,1216
"01","327","S",,84,"G",,3197
"01","327","P","D",0,"D","D",0
"01","3271","-",,19,"H",,342
"01","3271","Z","D",0,"D","D",0
"01","3271","S",,18,"H",,335
"01","3272","-",,28,"H",,816
"01","3272","Z","D",0,"D","D",0
"01","3272","S","D",0,"D","D",0
"01","3272","P","D",0,"D","D",0
"01","32721","-",,28,"H",,816
"01","32721","Z","D",0,"D","D",0
"01","32721","S","D",0,"D","D",0
"01","32721","P","D",0,"D","D",0
"01","3273","-",,28,"G",,2946
"01","3273","Z","D",0,"D","D",0
"01","3273","S",,25,"H",,1694
"01","3273","P","D",0,"D","D",0
"01","3274","-","D",0,"D","D",0
"01","3274","Z","D",0,"D","D",0
"01","3274","S","D",0,"D","D",0
"01","3279","-",,18,"H",,866
"01","3279","Z","D",0,"D","D",0
"01","3279","S","D",0,"D","D",0
"01","331","-",,74,"G",,4159
"01","331","C","D",0,"D","D",0
"01","331","Z",,8,"H",,1733
"01","331","S",,59,"G",,2055
"01","331","P",,5,"G",,309
"01","332","-",,574,"G",,29605
"01","332","C",,18,"H",,2579
"01","332","Z",,57,"G",,5532
"01","332","S",,455,"G",,15360
"01","332","P",,44,"G",,6134
"01","333","-",,274,"G",,12948
"01","333","C",,9,"H",,608
"01","333","Z",,19,"H",,2532
"01","333","S",,227,"G",,7147
"01","333","P",,19,"G",,2661
"01","334","-",,99,"H",,6115
"01","334","Z","D",0,"D","D",0
"01","334","S",,85,"G",,3523
"01","334","P","S",0,"S","S",0
"01","335","-",,76,"G",,3028
"01","335","C","D",0,"D","D",0
"01","335","Z",,10,"G",,851
"01","335","S",,62,"G",,2145
"01","335","P","D",0,"D","D",0
"01","336","-",,165,"G",,13808
"01","336","C","D",0,"D","D",0
"01","336","Z",,14,"H",,3394
"01","336","S",,137,"G",,7637
"01","336","P",,8,"G",,2111
"01","337","-",,222,"G",,8016
"01","337","C","D",0,"D","D",0
"01","337","Z",,6,"G",,494
"01","337","S",,210,"G",,6983
"01","337","P",,4,"G",,284
"01","339","-",,778,"G",,38614
"01","339","C",,9,"H",,1143
"01","339","Z",,61,"G",,7335
"01","339","S",,653,"G",,24114
"01","339","P",,55,"H",,6022
"01","3391","-",,78,"G",,4096
"01","3391","C","D",0,"D","D",0
"01","3391","Z",,6,"H",,325
"01","3391","S",,68,"G",,3206
"01","3391","P",,3,"G",,406
"01","33911","-",,78,"G",,4096
"01","33911","C","D",0,"D","D",0
"01","33911","Z",,6,"H",,325
"01","33911","S",,68,"G",,3206
"01","33911","P",,3,"G",,406
"01","3399","-",,700,"G",,34518
"01","3399","C","D",0,"D","D",0
"01","3399","Z",,55,"G",,7010
"01","3399","S",,585,"G",,20908
"01","3399","P",,52,"H",,5616
"01","42","-",,5245,"G",,405848
"01","42","C",,102,"G",,15834
"01","42","Z",,390,"G",,67480
"01","42","S",,4446,"G",,281821
"01","42","P",,307,"G",,40713
"01","423","-",,2623,"G",,210572
"01","423","C",,53,"G",,8808
"01","423","Z",,210,"G",,36241
"01","423","S",,2204,"G",,143257
"01","423","P",,156,"G",,22266
"01","4231","-",,307,"G",,36196
"01","4231","C",,13,"G",,2372
"01","4231","Z",,36,"G",,5650
"01","4231","S",,245,"G",,26928
"01","4231","P",,13,"H",,1246
"01","4232","-",,193,"G",,11505
"01","4232","C",,3,"H",,553
"01","4232","Z",,14,"H",,2294
"01","4232","S",,170,"G",,7604
"01","4232","P","D",0,"D","D",0
"01","4233","-",,155,"G",,15928
"01","4233","C","D",0,"D","D",0
"01","4233","Z",,13,"G",,2968
"01","4233","S",,126,"G",,8344
"01","4233","P",,14,"G",,3745
"01","4234","-",,151,"G",,13513
"01","4234","C","D",0,"D","D",0
"01","4234","Z",,16,"G",,1243
"01","4234","S",,122,"H",,9876
"01","4234","P",,11,"G",,2232
"01","4235","-",,73,"G",,7057
"01","4235","C","D",0,"D","D",0
"01","4235","Z","D",0,"D","D",0
"01","4235","S",,60,"G",,4496
"01","4235","P",,6,"H",,1201
"01","4236","-",,89,"H",,8479
"01","4236","C","D",0,"D","D",0
"01","4236","Z",,10,"G",,922
"01","4236","S",,74,"H",,7106
"01","4236","P","D",0,"D","D",0
"01","4237","-",,60,"G",,7206
"01","4237","Z",,8,"H",,2459
"01","4237","S",,45,"G",,3124
"01","4237","P",,7,"G",,1623
"01","4238","-",,233,"G",,30394
"01","4238","C",,12,"G",,2877
"01","4238","Z",,30,"H",,6968
"01","4238","S",,176,"G",,17615
"01","4238","P",,15,"G",,2934
"01","4239","-",,1362,"G",,80294
"01","4239","C",,18,"G",,1672
"01","4239","Z",,77,"G",,12529
"01","4239","S",,1186,"G",,58164
"01","4239","P",,81,"G",,7929
"01","42391","-",,180,"G",,5981
"01","42391","C",,3,"G",,86
"01","42391","Z",,14,"G",,590
"01","42391","S",,145,"G",,4834
"01","42391","P",,18,"H",,471
"01","42392","-",,78,"G",,2634
"01","42392","Z","D",0,"D","D",0
"01","42392","S",,72,"G",,2343
"01","42392","P",,5,"H",,73
"01","42393","-",,244,"G",,15849
"01","42393","C","D",0,"D","D",0
"01","42393","Z",,9,"H",,2511
"01","42393","S",,225,"G",,11644
"01","42393","P",,8,"H",,1525
"01","42394","-",,256,"G",,13168
"01","42394","C","D",0,"D","D",0
"01","42394","Z",,7,"H",,1276
"01","42394","S",,241,"G",,11071
"01","42394","P",,5,"G",,247
"01","42399","-",,604,"G",,42662
"01","42399","C",,10,"H",,843
"01","42399","Z",,46,"G",,7934
"01","42399","S",,503,"G",,28272
"01","42399","P",,45,"G",,5613
"01","424","-",,1951,"G",,149136
"01","424","C",,42,"H",,5973
"01","424","Z",,142,"H",,27142
"01","424","S",,1657,"G",,101509
"01","424","P",,110,"G",,14512
"01","4241","-",,77,"H",,5911
"01","4241","C","D",0,"D","D",0
"01","4241","Z",,8,"H",,1187
"01","4241","S",,64,"G",,3447
"01","4241","P","D",0,"D","D",0
"01","4242","-",,75,"G",,5126
"01","4242","C","D",0,"D","D",0
"01","4242","Z",,7,"H",,1946
"01","4242","S",,58,"G",,1913
"01","4242","P","D",0,"D","D",0
"01","42421","-",,75,"G",,5126
"01","42421","C","D",0,"D","D",0
"01","42421","Z",,7,"H",,1946
"01","42421","S",,58,"G",,1913
"01","42421","P","D",0,"D","D",0
"01","4243","-",,319,"G",,19208
"01","4243","C",,9,"H",,1321
"01","4243","Z",,17,"G",,4224
"01","4243","S",,270,"G",,10631
"01","4243","P",,23,"H",,3032
"01","4244","-",,438,"G",,57977
"01","4244","C","D",0,"D","D",0
"01","4244","Z",,53,"H",,12887
"01","4244","S",,357,"G",,41345
"01","4244","P",,21,"G",,2380
"01","4245","-",,83,"H",,6402
"01","4245","C",,3,"G",,251
"01","4245","Z","D",0,"D","D",0
"01","4245","S",,71,"H",,4315
"01","4245","P","D",0,"D","D",0
"01","4246","-",,43,"H",,4672
"01","4246","C",,3,"H",,729
"01","4246","Z","D",0,"D","D",0
"01","4246","S",,32,"G",,1974
"01","4246","P",,4,"H",,1225
"01","4247","-",,26,"G",,2571
"01","4247","C","D",0,"D","D",0
"01","4247","Z","D",0,"D","D",0
"01","4247","S",,23,"G",,2496
"01","4247","P","D",0,"D","D",0
"01","4248","-",,37,"H",,2791
"01","4248","C",,4,"H",,797
"01","4248","Z","D",0,"D","D",0
"01","4248","S",,25,"H",,399
"01","4248","P",,7,"H",,1524
"01","4249","-",,853,"G",,44478
"01","4249","C",,11,"G",,732
