State_Cd,COUNTY_CD,fsystem_cd,VMT,VMT_Total,Year
5,67,5,113849.22,41554965.3,2011
5,69,1,632880,231001200,2011
5,69,3,584171.82,213222714.3,2011
5,69,4,468993.7,171182700.5,2011
5,69,5,241692.3,88217689.5,2011
5,69,6,1913.04,698259.6,2011
5,71,1,668320,243936800,2011
5,71,3,73323.59,26763110.35,2011
5,71,4,53031.4,19356461,2011
5,71,5,211331.36,77135946.4,2011
5,73,3,81120.4,29608946,2011
5,73,4,78290.23,28575933.95,2011
5,73,5,71018.39,25921712.35,2011
5,75,2,18708.68,6828668.2,2011
5,75,3,344303.86,125670908.9,2011
5,75,4,90846.75,33159063.75,2011
5,75,5,89625.16,32713183.4,2011
5,77,3,133409.16,48694343.4,2011
5,77,4,13478.09,4919502.85,2011
5,77,5,65494.77,23905591.05,2011
5,79,3,190022.48,69358205.2,2011
5,79,5,109254.08,39877739.2,2011
5,81,3,190378.95,69488316.75,2011
5,81,4,65605.71,23946084.15,2011
5,81,5,118341.45,43194629.25,2011
5,83,3,5712,2084880,2011
5,83,4,300376.84,109637546.6,2011
5,83,5,106947.71,39035914.15,2011
5,85,1,767920,280290800,2011
5,85,2,317470,115876550,2011
5,85,3,233167.62,85106181.3,2011
5,85,4,495678.46,180922637.9,2011
5,85,5,256071.8,93466207,2011
5,87,3,162433.84,59288351.6,2011
5,87,4,86437.93,31549844.45,2011
5,87,5,140492.96,51279930.4,2011
5,89,3,145580.6,53136919,2011
5,89,4,30265.5,11046907.5,2011
5,89,5,132621.96,48407015.4,2011
5,91,1,478309.92,174583120.8,2011
5,91,2,270793.22,98839525.3,2011
5,91,3,397322.21,145022606.7,2011
5,91,4,68923.97,25157249.05,2011
5,91,5,191182.43,69781586.95,2011
5,93,1,785705,286782325,2011
5,93,3,226221.13,82570712.45,2011
5,93,4,125338.16,45748428.4,2011
5,93,5,408322.5,149037712.5,2011
5,93,6,1100.95,401846.75,2011
5,95,1,389180,142050700,2011
5,95,3,125901.09,45953897.85,2011
5,95,4,13478.5,4919652.5,2011
5,95,5,101506.37,37049825.05,2011
5,97,3,95293.08,34781974.2,2011
5,97,4,106036.91,38703472.15,2011
5,97,5,45269.46,16523352.9,2011
5,99,1,291170,106277050,2011
5,99,4,100235.04,36585789.6,2011
5,99,5,94031.83,34321617.95,2011
5,101,3,22839,8336235,2011
5,101,4,61076.08,22292769.2,2011
5,101,5,84818.17,30958632.05,2011
5,103,3,284649.63,103897115,2011
5,103,4,157130.72,57352712.8,2011
5,103,5,141091.21,51498291.65,2011
5,103,6,75,27375,2011
5,105,3,19774.8,7217802,2011
5,105,4,136273.62,49739871.3,2011
5,105,5,57878.34,21125594.1,2011
5,107,3,215083.29,78505400.85,2011
5,107,4,81079.44,29593995.6,2011
5,107,5,139707.49,50993233.85,2011
5,109,4,182971.29,66784520.85,2011
5,109,5,47278.93,17256809.45,2011
5,111,2,305796,111615540,2011
5,111,3,87508,31940420,2011
5,111,4,247353.45,90284009.25,2011
5,111,5,125607.78,45846839.7,2011
5,113,3,268354.03,97949220.95,2011
5,113,4,54548.59,19910235.35,2011
5,113,5,97299.08,35514164.2,2011
5,115,1,752899.67,274808379.6,2011
5,115,3,178297.91,65078737.15,2011
5,115,4,356826.7,130241745.5,2011
5,115,5,353968.79,129198608.4,2011
5,115,6,36,13140,2011
5,117,1,523000,190895000,2011
5,117,3,22756,8305940,2011
5,117,4,156028.81,56950515.65,2011
5,117,5,93042.24,33960417.6,2011
5,119,1,5744316.06,2096675362,2011
5,119,2,1002016.55,365736040.8,2011
5,119,3,1889629.83,689714888,2011
