YEAR,STATE_CODE,COUNTY_CODE,distributed_UPT
2005,19.0,15.0,1085699.4814814813
2005,19.0,169.0,3101998.518518518
2005,23.0,1.0,0.0
2005,25.0,3.0,573186.0
2005,47.0,63.0,0.0
2005,29.0,51.0,0.0
2005,1.0,3.0,0.0
2005,1.0,3.0,0.0
2005,15.0,9.0,0.0
2005,34.0,37.0,0.0
2005,42.0,89.0,0.0
2005,42.0,89.0,0.0
2005,36.0,109.0,3151650.0
2005,48.0,21.0,0.0
2005,24.0,1.0,0.0
2005,54.0,57.0,0.0
2005,26.0,115.0,0.0
2005,26.0,115.0,0.0
2005,26.0,115.0,0.0
2005,17.0,183.0,0.0
2005,6.0,17.0,0.0
2005,32.0,5.0,0.0
2005,48.0,167.0,41513.0
2006,34.0,3.0,58157420.535707876
2006,34.0,13.0,109217337.05023542
2006,34.0,17.0,161411433.3961051
2006,34.0,21.0,17292459.13419612
2006,34.0,23.0,42128828.50184532
2006,34.0,35.0,7918422.637673431
2006,34.0,39.0,19152851.74743894
2006,36.0,5.0,442652735.79561067
2006,36.0,47.0,1187996859.6785376
2006,36.0,59.0,10939309.742794747
2006,36.0,61.0,622344371.1128701
2006,36.0,81.0,1153429095.3356144
2006,36.0,85.0,115604300.33137035
2006,17.0,31.0,563456192.3846269
2006,17.0,43.0,43759086.57051024
2006,17.0,43.0,610630129.0
2006,17.0,89.0,3414850.04486291
2006,12.0,11.0,167126489.0
2006,34.0,15.0,147659778.54239523
2006,42.0,45.0,101720262.24218291
2006,42.0,91.0,33976478.969369344
2006,42.0,91.0,345699338.0
2006,42.0,101.0,62342818.24605251
2006,48.0,113.0,61599170.61863676
2006,48.0,139.0,1968501.0541100143
2006,48.0,257.0,1329954.1696222
2006,48.0,397.0,21363.708248534385
2006,48.0,439.0,11507523.449382488
2006,48.0,71.0,106894.64164545145
2006,48.0,157.0,1212477.254202762
2006,48.0,201.0,101362375.10415179
2006,11.0,1.0,461521384.0
2006,13.0,13.0,0.0
2006,13.0,15.0,1113029.6167819735
2006,13.0,45.0,28247840.175859
2006,13.0,77.0,5692872.794032388
2006,13.0,85.0,0.0
2006,13.0,113.0,0.0
2006,13.0,117.0,0.0
2006,13.0,139.0,112368550.68836237
2006,13.0,217.0,3131080.036717814
2006,13.0,231.0,598481.4988598152
2006,13.0,247.0,3612784.6577513237
2006,13.0,255.0,1795444.496579446
2006,13.0,297.0,802841.0350558497
2006,25.0,5.0,5629790.777252603
2006,25.0,5.0,387019688.0
2006,25.0,9.0,5424438.667293226
2006,25.0,17.0,42262011.59983831
2006,25.0,17.0,349768753.50266105
2006,25.0,21.0,32519881.492444783
2006,25.0,25.0,295961830.3403605
2006,33.0,11.0,4500972.171087258
2006,33.0,11.0,37250934.49733895
2006,33.0,11.0,189929708.8502397
2006,33.0,15.0,720762.9517232821
2006,33.0,15.0,387019688.0
2006,26.0,93.0,0.0
2006,26.0,115.0,50986732.0
2006,26.0,115.0,42064648.70555296
2006,26.0,115.0,50986732.0
2006,26.0,147.0,0.0
2006,26.0,147.0,50986732.0
2006,4.0,13.0,62117198.0
2006,6.0,75.0,427092712.0
2006,27.0,19.0,3288899.531409402
2006,27.0,53.0,28731849.434572957
2006,27.0,123.0,52994973.03401764
2006,8.0,1.0,14205517.399782903
2006,8.0,5.0,19377548.56872142
2006,8.0,14.0,1941709.529210597
2006,8.0,31.0,32579063.440129172
2006,8.0,59.0,16694482.096762523
2006,8.0,123.0,2352222.965393385
2006,8.0,123.0,87150544.0
2006,24.0,3.0,2441456.961622603
2006,24.0,13.0,236787.24449164423
2006,24.0,27.0,2036852.3422023288
2006,24.0,31.0,37024504.4320713
2006,24.0,33.0,35524714.71789173
2006,24.0,35.0,79830.45631073805
2006,24.0,510.0,27647908.845409658
2006,29.0,189.0,54444961.0
2006,41.0,51.0,102909371.0
2006,39.0,35.0,55628058.6516129
2006,39.0,85.0,14602478.348387096
2006,48.0,187.0,43778237.0
2006,42.0,3.0,71715938.0
2006,18.0,29.0,791571.4709419489
2006,21.0,15.0,8660219.768575702
2006,21.0,117.0,16876303.76048235
2006,20.0,209.0,15211035.0
2006,18.0,59.0,0.0
2006,18.0,63.0,238861.53419280183
2006,18.0,97.0,7948901.271327147
2006,18.0,109.0,490845.1944800514
2006,39.0,41.0,10552923.423839517
2006,39.0,49.0,3105470.8423616514
2006,39.0,49.0,14956349.0
2006,39.0,89.0,0.0
2006,39.0,89.0,14956349.0
2006,39.0,97.0,707975.3093448172
2006,39.0,159.0,589979.4244540143
2006,48.0,55.0,0.0
2006,48.0,453.0,33467258.595417943
2006,48.0,491.0,1308395.404582055
2006,37.0,25.0,0.0
2006,37.0,97.0,18621383.372125193
2006,45.0,57.0,451171.6278748055
2006,44.0,1.0,7777370.117647059
2006,44.0,5.0,16261773.882352943
2006,44.0,5.0,7646534.657005504
2006,5.0,35.0,11647537.0
2006,28.0,33.0,0.0
2006,18.0,43.0,177780.48458172864
2006,21.0,29.0,47851.19585003537
2006,21.0,111.0,15255933.21440698
2006,21.0,185.0,266919.95185097854
2006,21.0,211.0,105962.15331027798
2006,47.0,147.0,8096100.0
2006,9.0,3.0,16135875.0
2006,9.0,1.0,5452158.852158953
2006,9.0,1.0,7835631.691462907
2006,9.0,1.0,5247111.159155228
2006,9.0,5.0,3679156.037767931
2006,9.0,9.0,1172280.1100731152
2006,9.0,9.0,10303595.0
2006,22.0,71.0,2790016.307725048
2006,22.0,87.0,1032224.6922749521
2006,4.0,19.0,17848682.0
2006,1.0,9.0,140433.67344544388
2006,1.0,115.0,202848.6394211967
2006,1.0,117.0,3126175.6871333593
2006,35.0,1.0,9260967.0
2006,31.0,55.0,3252439.5347818616
2006,31.0,153.0,420473.46521813807
2006,39.0,113.0,13688098.0
2006,36.0,55.0,14140414.0
2006,34.0,19.0,932565.6523681547
2006,34.0,41.0,340599.5198422394
2006,42.0,17.0,2770723.213640013
2006,42.0,25.0,99202.43858853093
2006,42.0,77.0,259454.2550347283
2006,42.0,89.0,1374383.9205263343
2006,42.0,89.0,2845924.3171254657
2006,40.0,145.0,2516455.0
2006,6.0,19.0,12108951.0
2006,25.0,13.0,9608132.0
2006,36.0,83.0,2058345.99079646
2006,36.0,93.0,10836346.009203538
2006,22.0,5.0,128895.80966113915
2006,22.0,33.0,3115031.565969719
2006,22.0,63.0,257494.62436914202
2006,27.0,61.0,7727173.0
2006,39.0,103.0,1224128.7436622207
2006,39.0,133.0,1616773.812384065
2006,39.0,151.0,3137415.127815564
2006,39.0,151.0,7066987.0
2006,39.0,169.0,1088669.3161381504
2006,39.0,169.0,4113760.1228304403
2006,9.0,9.0,994327.6162994228
2006,9.0,9.0,8739506.0
2006,8.0,35.0,3522419.0
2006,47.0,9.0,0.0
2006,47.0,105.0,3069468.305084746
2006,47.0,129.0,196244.69491525422
2006,47.0,155.0,0.0
2006,45.0,71.0,2518334.0
2006,39.0,95.0,824149.206719552
2006,26.0,115.0,4709738.0
2006,26.0,115.0,3885588.793280448
2006,26.0,115.0,4709738.0
2006,19.0,153.0,4360038.0
2006,5.0,119.0,2372813.0
2006,13.0,73.0,330082.8843762951
2006,13.0,245.0,136522.28097803565
2006,45.0,3.0,413923.937007874
2006,45.0,37.0,75258.89763779528
2006,13.0,47.0,1113432.5714285714
2006,13.0,83.0,404884.5714285714
2006,13.0,295.0,1315874.8571428573
2006,47.0,153.0,0.0
2006,28.0,49.0,0.0
2006,28.0,121.0,0.0
2006,16.0,1.0,1112159.0
2006,37.0,37.0,11697827.0
2006,6.0,37.0,0.0
2006,6.0,37.0,0.0
2006,1.0,3.0,1246223.0
2006,1.0,3.0,1246223.0
2006,48.0,409.0,5538711.0
2006,26.0,37.0,10231229.0
2006,12.0,21.0,1179218.0
2006,22.0,17.0,3181168.0
2006,5.0,7.0,0.0
2006,5.0,143.0,1271286.8107279693
2006,29.0,119.0,144267.18927203064
2006,21.0,67.0,4802730.0
2006,21.0,113.0,0.0
2006,1.0,89.0,439397.0
2006,37.0,87.0,0.0
2006,37.0,89.0,885781.0708067325
2006,37.0,111.0,271711.9849100406
2006,37.0,115.0,0.0
2006,37.0,175.0,229646.94428322694
2006,19.0,163.0,3432437.0
2006,39.0,151.0,0.0
2006,39.0,151.0,0.0
2006,18.0,147.0,1733830.5970149254
2006,26.0,21.0,1778184.4029850748
2006,26.0,21.0,3512015.0
2006,6.0,13.0,2602404.0
2006,1.0,1.0,15433.875053732627
2006,1.0,51.0,19292.343817165784
2006,1.0,101.0,910124.7811291016
2006,31.0,109.0,1852090.0
2006,6.0,37.0,3798809.0
2006,6.0,37.0,3798809.0
2006,1.0,113.0,25486.60264618011
2006,13.0,53.0,73947.9071969697
2006,13.0,145.0,35411.673868971404
2006,13.0,215.0,783847.8162878788
2006,22.0,55.0,0.0
2006,2.0,20.0,4230424.0
2006,34.0,1.0,0.0
2006,25.0,1.0,240750.87637563472
2006,25.0,23.0,508135.12362436525
2006,48.0,339.0,0.0
2006,48.0,79.0,3260547.0
2006,48.0,479.0,4304878.0
2006,18.0,129.0,27248.017800381436
2006,18.0,163.0,3544512.9821996186
2006,21.0,101.0,0.0
2006,25.0,17.0,42477.27612821781
2006,25.0,17.0,351550.3252479332
2006,33.0,11.0,4523.898189394962
2006,33.0,11.0,37440.674752066814
2006,33.0,11.0,190897.12918006277
2006,37.0,129.0,1456952.0
2006,48.0,281.0,370151.0
2006,48.0,61.0,1891071.0
2006,55.0,87.0,1135274.0
2006,24.0,5.0,268983.2019281996
2006,24.0,15.0,3937.2569697451017
2006,24.0,25.0,23870.541102055267
2006,37.0,3.0,0.0
2006,37.0,23.0,0.0
2006,37.0,27.0,0.0
2006,9.0,11.0,558368.2487981607
2006,44.0,5.0,553911.705882353
2006,44.0,5.0,260457.75120183933
2006,28.0,47.0,407348.0
2006,55.0,9.0,1537608.4217582839
2006,55.0,83.0,237483.57824171617
2006,23.0,5.0,2283769.0
2006,54.0,11.0,560840.4249999999
2006,54.0,99.0,212732.575
2006,48.0,375.0,307188.6294134001
2006,48.0,381.0,82796.37058659994
2006,12.0,1.0,8705537.0
2006,24.0,43.0,211066.7444803099
2006,54.0,3.0,130637.25551969012
2006,45.0,83.0,717649.0
2006,19.0,113.0,1214996.0
2006,27.0,27.0,1277147.0
2006,38.0,17.0,0.0
2006,36.0,79.0,211654.61547860334
2006,9.0,1.0,467581.74296602287
2006,9.0,1.0,671990.3845213967
2006,9.0,1.0,449996.6798221127
2006,17.0,167.0,1348167.0
2006,26.0,121.0,806109.0
2006,21.0,47.0,0.0
2006,47.0,125.0,655755.0
2006,33.0,11.0,5365.72324560283
2006,33.0,11.0,44407.78515289449
2006,33.0,11.0,226420.02995591323
2006,9.0,1.0,244137.62794186777
2006,9.0,1.0,350865.1502005261
2006,9.0,1.0,234955.9700440868
2006,36.0,7.0,1496939.6626790995
2006,36.0,107.0,628455.1671594268
2006,42.0,115.0,845914.1701614737
2006,46.0,103.0,930568.0
2006,46.0,103.0,930568.0
2006,54.0,39.0,2207552.0
2006,54.0,79.0,2207552.0
2006,48.0,189.0,118404.0
2006,20.0,77.0,1646457.0
2006,25.0,5.0,23645.489442775648
2006,25.0,5.0,1625508.0
2006,48.0,199.0,225045.5625
2006,48.0,361.0,429632.4375
2006,18.0,157.0,4346081.0
2006,17.0,19.0,9734088.0
2006,22.0,109.0,154115.0
2006,18.0,39.0,296024.0
2006,12.0,5.0,121702.0
2006,1.0,125.0,197082.0
2006,8.0,101.0,1033411.0
2006,17.0,113.0,1226228.0
2006,13.0,59.0,1458674.0
2006,13.0,157.0,0.0
2006,13.0,195.0,0.0
2006,13.0,219.0,0.0
2006,13.0,221.0,0.0
2006,48.0,135.0,394500.0
2006,26.0,147.0,0.0
2006,26.0,147.0,742405.0
2006,29.0,19.0,875836.0
2006,5.0,33.0,55483.88478933587
2006,5.0,131.0,131143.7276838848
2006,40.0,79.0,0.0
2006,40.0,135.0,25270.387526779337
2006,47.0,19.0,500547.0
2006,55.0,31.0,2716680.0
2006,8.0,123.0,13163.351608684694
2006,8.0,123.0,487706.0
2006,25.0,27.0,946107.0
2006,22.0,53.0,1136712.0
2006,30.0,111.0,770011.0
2006,8.0,13.0,0.0
2006,19.0,13.0,656959.0
2006,48.0,303.0,603790.0
2006,50.0,7.0,2137482.0
2006,18.0,105.0,2401255.0
2006,42.0,91.0,0.0
2006,42.0,91.0,0.0
2006,27.0,95.0,1464833.0
2006,6.0,25.0,0.0
2006,19.0,103.0,5973505.0
2006,47.0,73.0,0.0
2006,31.0,43.0,887310.0
2006,46.0,127.0,0.0
2006,48.0,39.0,182317.0
2006,40.0,25.0,947429.0
2006,55.0,63.0,488097.49671580794
2006,55.0,123.0,608281.5032841921
2006,16.0,55.0,0.0
2006,24.0,45.0,657934.0
2006,13.0,95.0,663438.09375
2006,13.0,177.0,122858.90625
2006,40.0,27.0,337674.0
2006,17.0,115.0,1156661.0
2006,48.0,451.0,0.0
2006,18.0,167.0,184581.0
2006,18.0,135.0,2053967.0
2006,45.0,31.0,141435.42857142855
2006,45.0,41.0,291710.5714285714
2006,35.0,49.0,658009.0
2006,23.0,27.0,0.0
