fips code,total emissions,YEAR
51199,321496.04399431136,2017
51510,384580.10385433875,2017
51520,154179.78028326997,2017
51530,12590.57598966936,2017
51540,140455.12631835404,2017
51550,1272990.706531555,2017
51570,126657.41912666635,2017
51580,22113.748957786513,2017
51590,210136.9648469178,2017
51595,49113.28138264015,2017
51600,110597.42349563543,2017
51610,36898.28267632266,2017
51620,17323.7558741885,2017
51630,232061.27699449667,2017
51640,29703.78848638391,2017
51650,645536.2955548901,2017
51660,228461.39534916717,2017
51670,61126.173426580695,2017
51678,11502.55106952941,2017
51680,327821.5024628484,2017
51683,94976.73057814952,2017
51685,19637.644101383063,2017
51690,46813.17280516131,2017
51700,810121.4504648761,2017
51710,1006934.408719617,2017
51720,24641.916480330005,2017
51730,184771.60814409232,2017
51735,29650.9980769444,2017
51740,313193.9012422359,2017
51750,38699.48231654562,2017
51760,1047452.1921187725,2017
51770,475784.3273878476,2017
51775,88238.63695512111,2017
51790,70048.35738684528,2017
51800,747275.1345828283,2017
51810,1532617.2868594443,2017
51820,87216.64003034118,2017
51830,83103.93891706069,2017
51840,82867.95634279336,2017
54001,71505.7288533186,2017
54003,618263.8238431608,2017
54005,142986.61079781607,2017
54007,183390.3458127965,2017
54009,113217.91649982166,2017
54011,460094.94339554023,2017
54013,468003.3878523226,2017
54015,55003.85524891061,2017
54017,89234.17357126364,2017
54019,301615.2062563156,2017
54021,30992.29890964039,2017
54023,60460.63903789856,2017
54025,234185.18311008843,2017
54027,116655.77877347397,2017
54029,79044.14197238525,2017
54031,101667.56993129634,2017
54033,482126.1171106038,2017
54035,263356.3032797314,2017
54037,241463.08768658453,2017
54039,1235959.581052936,2017
54041,181737.27611837492,2017
54043,87768.99070667182,2017
54045,159612.5803228342,2017
54047,282332.79466915375,2017
54049,140780.1123361966,2017
54051,161962.36115329017,2017
54053,95842.13361694507,2017
54055,443471.5737730252,2017
54057,105467.47237502043,2017
54059,131416.6262658235,2017
54061,587707.4890637802,2017
54063,48589.651891100104,2017
54065,67076.84758519304,2017
54067,177112.63631210246,2017
54069,284793.3277830004,2017
54071,47797.37036128646,2017
54073,45472.334841428434,2017
54075,48055.828423487306,2017
54077,178932.38956676383,2017
54079,343425.2413061599,2017
54081,509834.8566339508,2017
54083,149643.68635050542,2017
54085,86774.52429589634,2017
54087,87078.66040014206,2017
54089,66144.8169563653,2017
54091,63753.98931334922,2017
54093,41657.707195720075,2017
54095,39719.623354651034,2017
54097,104782.02568348034,2017
54099,181248.9716065608,2017
54101,36865.37992006336,2017
54103,83090.29575334098,2017
54105,26563.56153461168,2017
54107,406510.0998524147,2017
54109,99133.7249001014,2017
72001,44538.34140194347,2017
72003,92162.27398154575,2017
72005,128740.95575407508,2017
72007,62327.679585308804,2017
72009,54859.81567384866,2017
72011,65177.08701864838,2017
72013,204862.67724573202,2017
72015,42631.2516784143,2017
72017,57762.69805986101,2017
72019,67216.96323183604,2017
72021,436168.5666977306,2017
72023,117612.7397382672,2017
72025,310687.36666445725,2017
72027,76512.6426051187,2017
72029,110167.17267443611,2017
