FIPS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
06077,,,,,,,,5176473,5612395,5876604,5866330,5213804,4813067,5147474,5434386,2556780,5456123.544,5477948.038,5499859.83,5521859.27,5543946.707,5566122.494,5588386.984,5610740.531,5633183.494,5655716.228,5678339.092,5701052.449,5723856.659,5746752.085,5769739.094,5792818.05,5815989.322,5839253.279,5862610.293,5886060.734,5909604.977,5933243.397,5956976.37,5980804.276,6004727.493,6028746.403,6052861.388,6077072.834,6101381.125,6125786.65
06079,,,,,,,,2135153,2203108,2275049,2277255,2272765,2181190,2082625,2052731,929016,2060941.924,2069185.692,2077462.434,2085772.284,2094115.373,2102491.835,2110901.802,2119345.409,2127822.791,2136334.082,2144879.419,2153458.936,2162072.772,2170721.063,2179403.947,2188121.563,2196874.049,2205661.546,2214484.192,2223342.128,2232235.497,2241164.439,2250129.097,2259129.613,2268166.132,2277238.796,2286347.751,2295493.142,2304675.115,2313893.815
06081,1084296404,1124159652,1100895419,1204471173,1206983399,1141208474,1207330078,132268330.5,171791572.6,164864724.9,144680003.4,165470676.7,139153567.3,158157535.8,145668065.6,57892245.73,146250737.8,146835740.8,147423083.8,148012776.1,148604827.2,149199246.5,149796043.5,150395227.7,150996808.6,151600795.8,152207199,152816027.8,153427291.9,154041001.1,154657165.1,155275793.7,155896896.9,156520484.5,157146566.4,157775152.7,158406253.3,159039878.3,159676037.8,160314742,160956001,161599825,162246224.3,162895209.2,163546790,164200977.2
06083,,,,,,,,9215834,8975489,8644305,8089949,7353020,7058538,7080504,7195745,3388715,7224527.98,7253426.092,7282439.796,7311569.555,7340815.834,7370179.097,7399659.813,7429258.453,7458975.486,7488811.388,7518766.634,7548841.701,7579037.067,7609353.216,7639790.628,7670349.791,7701031.19,7731835.315,7762762.656,7793813.707,7824988.962,7856288.917,7887714.073,7919264.929,7950941.989,7982745.757,8014676.74,8046735.447,8078922.389,8111238.078
06085,,,,,,,,66618505.85,60169975.88,63538848.02,67709775.67,59324721.29,56795137.02,53889485.01,53063769.33,24478317.13,53276024.4,53489128.5,53703085.02,53917897.36,54133568.95,54350103.22,54567503.63,54785773.65,55004916.74,55224936.41,55445836.16,55667619.5,55890289.98,56113851.14,56338306.54,56563659.77,56789914.41,57017074.07,57245142.36,57474122.93,57704019.42,57934835.5,58166574.84,58399241.14,58632838.11,58867369.46,59102838.94,59339250.29,59576607.29,59814913.72
06087,,,,,,,,5348468,5591143,5692203,5719461,5434224,5083160,5100662,5155191,1675720,5175811.764,5196515.011,5217301.071,5238170.275,5259122.956,5280159.448,5301280.086,5322485.206,5343775.147,5365150.248,5386610.849,5408157.292,5429789.921,5451509.081,5473315.117,5495208.378,5517189.211,5539257.968,5561415,5583660.66,5605995.303,5628419.284,5650932.961,5673536.693,5696230.84,5719015.763,5741891.826,5764859.393,5787918.831,5811070.506
06091,,,,,,,,8345733,8485328,8660511,8406731,7953442,7987976,7888675,8365362,6011775,8398823.448,8432418.742,8466148.417,8500013.01,8534013.062,8568149.115,8602421.711,8636831.398,8671378.724,8706064.239,8740888.495,8775852.049,8810955.458,8846199.279,8881584.077,8917110.413,8952778.855,8988589.97,9024544.33,9060642.507,9096885.077,9133272.618,9169805.708,9206484.931,9243310.871,9280284.114,9317405.25,9354674.871,9392093.571,9429661.945
06095,,,,,,,,5265599.55,4403648.826,6065421.854,5340704.622,4877250.264,5576280.284,4386267.715,4602869.093,1809768.036,4621280.57,4639765.692,4658324.755,4676958.054,4695665.886,4714448.55,4733306.344,4752239.569,4771248.528,4790333.522,4809494.856,4828732.835,4848047.767,4867439.958,4886909.717,4906457.356,4926083.186,4945787.518,4965570.669,4985432.951,5005374.683,5025396.182,5045497.766,5065679.758,5085942.477,5106286.246,5126711.391,5147218.237,5167807.11,5188478.338
06097,,,,,,,,4677105,4348962,3991542,3820066,3646090,3592094,3902112,3869113,1842217,3884589.452,3900127.81,3915728.321,3931391.234,3947116.799,3962905.266,3978756.888,3994671.915,4010650.603,4026693.205,4042799.978,4058971.178,4075207.063,4091507.891,4107873.922,4124305.418,4140802.64,4157365.85,4173995.314,4190691.295,4207454.06,4224283.876,4241181.012,4258145.736,4275178.319,4292279.032,4309448.148,4326685.941,4343992.685,4361368.655
06099,,,,,,,,3718270,3916775,3903965,3641480,3180434,2927358,2649251,2613320,1569734,2623773.28,2634268.373,2644805.447,2655384.668,2666006.207,2676670.232,2687376.913,2698126.42,2708918.926,2719754.602,2730633.62,2741556.155,2752522.379,2763532.469,2774586.599,2785684.945,2796827.685,2808014.996,2819247.056,2830524.044,2841846.14,2853213.525,2864626.379,2876084.884,2887589.224,2899139.581,2910736.139,2922379.084,2934068.6,2945804.874
