FIPS,Geotype,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1067,F,1838.08,1857.82,1858.78,1858.78,1858.78,1858.78,1902.78,1902.64,1902.278,1971.142,2040.006,2041.302,1698.724,1702.934,1858.966,1858.928,1861.104,1858.91,1858.89,1859.816,1855.596,1869.564937,1883.639032,1897.819077,1912.105869,1926.500213,1941.002917,1955.614797,1970.336676,1985.169381,2000.113747,2015.170614,2030.34083,2045.625247,2061.024725,2076.54013,2092.172335,2107.92222,2123.79067,2139.778578,2155.886843,2172.116371,2188.468074,2204.942874,2221.541696,2238.265474,2255.115149,2272.091668,2289.195986,2306.429066,2323.791877
1069,F,3670.9,3674.1,3693.46,3693.5,2759.4,2759.896,3699.268,3697.014,3697.024,3660.62,3624.216,3891.856,2565.959,2580.934,3608.243,3608.241,3605.505,3613.09,3617.765,3626.399,3619.493,3646.740563,3674.193246,3701.852593,3729.720159,3757.797513,3786.086233,3814.587911,3843.304149,3872.236564,3901.386782,3930.756443,3960.347199,3990.160714,4020.198666,4050.462743,4080.954649,4111.676098,4142.628818,4173.81455,4205.235049,4236.892081,4268.787428,4300.922883,4333.300254,4365.921362,4398.788042,4431.902142,4465.265525,4498.880069,4532.747662
1071,F,3459.74,3519.08,3421.1,3421.1,3677.342,3677.482,3668.996,3675.51,3675.366,3708.294,3741.222,3744.737,2828.301,2823.385,3461.316,3461.229,3461.535,3461.537,3452.031,3459.049,3463.677,3489.751579,3516.022448,3542.491084,3569.158977,3596.027625,3623.09854,3650.373246,3677.853276,3705.540175,3733.435502,3761.540825,3789.857724,3818.387794,3847.132638,3876.093874,3905.27313,3934.672047,3964.29228,3994.135493,4024.203367,4054.497592,4085.019872,4115.771924,4146.755477,4177.972275,4209.424073,4241.112641,4273.03976,4305.207226,4337.61685
1073,D,14247.3,14269.08,14346.52,14339.72,13466.15,13479.828,14758.176,14786.01,14786.01,15320.0545,15854.099,15935.268,6540.658,6526.695,12458.942,12450.79,12470.456,12483.706,12494.658,12471.211,12471.915,12474.57128,12477.22812,12479.88552,12482.5435,12485.20204,12487.86114,12490.52081,12493.18105,12495.84186,12498.50323,12501.16517,12503.82767,12506.49074,12509.15438,12511.81859,12514.48337,12517.14871,12519.81462,12522.48109,12525.14814,12527.81575,12530.48393,12533.15268,12535.822,12538.49189,12541.16234,12543.83337,12546.50496,12549.17712,12551.84985
1075,F,2425.96,2422.62,2417.94,2417.94,2417.94,2418.028,2417.94,2418,2417.74,2489.167,2560.594,2560.555,2092.3,2093.664,2243.448,2243.448,2243.318,2243.318,2243.288,2215.067,2223.775,2240.51559,2257.382204,2274.375789,2291.497303,2308.747707,2326.127972,2343.639076,2361.282004,2379.057748,2396.967308,2415.011691,2433.191912,2451.508994,2469.963967,2488.557869,2507.291746,2526.166652,2545.183648,2564.343805,2583.648199,2603.097917,2622.694052,2642.437707,2662.329993,2682.372027,2702.564939,2722.909862,2743.407942,2764.060332,2784.868194
1077,C,4097.29,4094.63,4109.33,4109.33,4109.33,4112.032,4110.192,4116.988,4116.838,4214.364,4311.89,4328.524,3194.576,3191.725,3831.227,3831.207,3831.949,3832.106,3831.82,3856.103,3884.319,3891.756087,3899.207414,3906.673008,3914.152895,3921.647104,3929.155661,3936.678595,3944.215932,3951.767701,3959.333929,3966.914643,3974.509872,3982.119643,3989.743983,3997.382922,4005.036487,4012.704705,4020.387606,4028.085216,4035.797564,4043.524679,4051.266589,4059.023322,4066.794906,4074.581369,4082.382742,4090.19905,4098.030325,4105.876593,4113.737885
1079,F,2669.74,2676.38,2615.44,2615.44,2626.04,2639.48,2636.562,2636.464,2636.644,2857.78,3078.916,3101.128,2361.192,2359.572,2549.912,2552.93,2552.931,2552.931,2552.943,2552.699,2752.309,2773.028397,2793.90377,2814.936293,2836.127149,2857.477529,2878.988636,2900.661678,2922.497875,2944.498455,2966.664655,2988.997723,3011.498914,3034.169494,3057.010739,3080.023932,3103.210369,3126.571354,3150.1082,3173.822232,3197.714783,3221.787197,3246.040829,3270.477042,3295.097211,3319.90272,3344.894966,3370.075354,3395.445299,3421.00623,3446.759584
1081,D,3308.04,3359.98,3344.88,3346.18,3349.664,3365.348,3365.222,3509.046,3511.926,3645.573,3779.22,3854.864,2550.393,2569.678,3541.239,3541.161,3544.856,3544.692,3544.114,3580.008,3545.81,3546.565189,3547.320538,3548.076049,3548.83172,3549.587552,3550.343545,3551.099699,3551.856015,3552.612491,3553.369128,3554.125927,3554.882887,3555.640008,3556.39729,3557.154734,3557.912339,3558.670105,3559.428032,3560.186121,3560.944372,3561.702784,3562.461357,3563.220092,3563.978989,3564.738047,3565.497267,3566.256649,3567.016192,3567.775898,3568.535764
1083,F,2645.26,2648.76,2701.62,2708.22,1397.736,1405.668,2742.006,2742.734,2742.734,3186.725,3630.716,3647.87,2681.517,2681.404,3085.936,3098.44,3078.269,3079.49,3104.657,3173.106,3140.424,3164.065129,3187.884229,3211.882638,3236.061708,3260.422799,3284.967279,3309.696531,3334.611944,3359.714921,3385.006873,3410.489224,3436.163405,3462.030862,3488.093049,3514.351433,3540.807489,3567.462708,3594.318586,3621.376636,3648.638379,3676.105349,3703.77909,3731.661159,3759.753125,3788.056567,3816.573077,3845.30426,3874.251732,3903.41712,3932.802065
1085,F,1317.02,1317.02,1317.94,1317.94,1317.94,1317.956,1317.956,1318.152,1321.092,1404.233,1487.374,1488.242,1273.066,1273.85,1399.271,1399.271,1399.115,1399.027,1399.151,1399.155,1398.388,1408.915072,1419.521393,1430.207558,1440.974168,1451.821829,1462.751152,1473.762751,1484.857245,1496.035258,1507.29742,1518.644363,1530.076726,1541.595152,1553.200289,1564.892789,1576.67331,1588.542515,1600.501072,1612.549653,1624.688936,1636.919603,1649.242342,1661.657848,1674.166817,1686.769954,1699.467967,1712.261572,1725.151486,1738.138436,1751.223151
