YEAR,STATE_CODE,COUNTY_CODE,F_SYSTEM,"AVMT (1,000)",VMT_TOTAL
2000,5,59,1,"202,815",202815240
2000,5,59,2,"57,295",57294921
2000,5,59,11,"25,214",25213740
2000,5,59,14,"27,407",27407445.18
2000,5,63,2,"87,975",87974790.48
2000,5,63,14,"40,939",40939303.32
2000,5,67,2,"78,462",78461923.44
2000,5,67,14,"14,905",14904976.68
2000,5,69,1,"100,509",100508504.4
2000,5,69,2,"121,230",121229810.3
2000,5,69,11,"113,943",113943120
2000,5,69,12,"39,653",39652996.32
2000,5,69,14,"73,246",73246006.2
2000,5,71,1,"175,662",175661700
2000,5,71,11,"41,018",41017986
2000,5,71,14,"18,983",18983329.32
2000,5,73,2,"33,819",33818949
2000,5,75,2,"141,248",141247711.9
2000,5,77,2,"51,698",51697994.1
2000,5,77,14,"7,947",7946592
2000,5,79,2,"71,255",71255076
2000,5,81,2,"58,128",58127991.9
2000,5,81,14,"15,184",15183645.42
2000,5,83,2,"2,009",2008608
2000,5,85,1,"289,144",289143660
2000,5,85,2,"74,005",74004834
2000,5,85,12,"59,469",59468778
2000,5,85,14,"34,326",34325676
2000,5,87,2,"38,671",38671168.38
2000,5,89,2,"59,754",59754393.42
2000,5,91,1,"108,526",108526320
2000,5,91,2,"91,241",91240758.54
2000,5,91,11,"29,734",29733840
2000,5,91,12,"26,470",26469705.6
2000,5,91,14,"67,370",67370352
2000,5,93,1,"285,802",285802080
2000,5,93,2,"41,558",41557506.6
2000,5,93,11,"7,840",7839720
2000,5,93,14,"45,394",45394167.48
2000,5,95,1,"134,029",134029456.2
2000,5,95,2,"57,150",57150241.2
2000,5,97,2,"38,537",38537325.84
2000,5,99,1,"89,663",89662680
2000,5,101,2,"7,736",7736142
2000,5,103,2,"85,088",85087753.2
2000,5,103,12,"18,299",18299451
2000,5,103,14,"14,074",14074251.84
2000,5,105,2,"7,644",7644407.76
2000,5,107,2,"62,944",62943882.12
2000,5,107,14,"26,547",26547078
2000,5,111,2,"149,051",149051186.9
2000,5,111,14,527,527040
2000,5,113,2,"79,854",79854022.74
2000,5,113,14,"22,976",22975767.12
2000,5,115,1,"195,374",195374460
2000,5,115,11,"51,493",51492759.6
2000,5,115,14,"61,711",61711208.76
2000,5,117,1,"213,868",213868440
2000,5,117,2,"9,163",9162810
2000,5,119,1,"242,143",242143038
2000,5,119,2,"60,534",60533885.58
2000,5,119,11,"1,512,138",1512138245
2000,5,119,12,"253,831",253830559.9
2000,5,119,14,"570,036",570036450.2
2000,5,121,2,"33,635",33635034
2000,5,121,14,"15,853",15853421.76
2000,5,123,1,"508,304",508304460
2000,5,123,2,"30,588",30588453.66
2000,5,123,11,"35,773",35772840
2000,5,123,14,"26,331",26331086.76
2000,5,125,1,"195,888",195887529.8
2000,5,125,2,"49,794",49793970.6
2000,5,125,11,"175,900",175899600
2000,5,125,14,"20,789",20789041.56
2000,5,127,2,"76,433",76433159.82
2000,5,129,2,"68,784",68783624.4
2000,5,131,2,"80,265",80264912.64
2000,5,131,11,"169,612",169611720
2000,5,131,14,"258,853",258853185.2
2000,5,133,2,"88,700",88700389.14
2000,5,135,2,"98,661",98661192.6
2000,5,139,2,"151,068",151067967.7
2000,5,139,12,"38,139",38139103.2
2000,5,139,14,"32,751",32751316.02
2000,5,141,2,"100,262",100261820.4
2000,5,143,1,"93,030",93029880
2000,5,143,2,"73,045",73044501.24
2000,5,143,11,"221,199",221199054
2000,5,143,12,"23,921",23921028
2000,5,143,14,"327,175",327175437.4
2000,5,145,2,"289,741",289741338
2000,5,145,12,"16,367",16366861.2
2000,5,145,14,"25,272",25272300
2000,5,149,2,"36,349",36348543.36
2000,6,1,1,"746,874",746873682.9
2000,6,1,2,"122,853",122852529.5
2000,6,1,11,"6,260,754",6260754487
2000,6,1,12,"609,700",609700440.1
2000,6,1,14,"1,965,309",1965309263
2000,6,3,2,"27,203",27203438.61
2000,6,5,2,"164,259",164258922.4
2000,6,7,2,"314,419",314419454.6
2000,6,7,12,"136,060",136060410
2000,6,7,14,"268,184",268183971.3
2000,6,11,1,"312,014",312013996.8
2000,6,11,2,"72,406",72406478.33
2000,6,13,2,"58,924",58923719.45
2000,6,13,11,"2,557,150",2557149504
