ST_code,ST_name,COUNTY,DVMT,Total_VMT,
13,Georgia,73,"2,058,643",751404512.5,2011
13,Georgia,75,"952,199",347552452.5,2011
13,Georgia,77,"2,855,217",1042154132,2011
13,Georgia,79,"216,487",79017828,2011
13,Georgia,81,"1,002,736",365998530.5,2011
13,Georgia,83,"732,225",267262198,2011
13,Georgia,85,"494,329",180430231,2011
13,Georgia,87,"664,390",242502386.5,2011
13,Georgia,89,"16,781,986",6125424963,2011
13,Georgia,91,"374,733",136777654.5,2011
13,Georgia,93,"910,506",332334690,2011
13,Georgia,95,"1,935,568",706482137.5,2011
13,Georgia,97,"3,092,453",1128745345,2011
13,Georgia,99,"296,343",108165049,2011
13,Georgia,101,"69,194",25255846.5,2011
13,Georgia,103,"872,829",318582402.5,2011
13,Georgia,105,"353,165",128905334.5,2011
13,Georgia,107,"703,875",256914521,2011
13,Georgia,109,"199,932",72975180,2011
13,Georgia,111,"472,854",172591746.5,2011
13,Georgia,113,"1,851,176",675679130.5,2011
13,Georgia,115,"2,022,742",738300830,2011
13,Georgia,117,"2,930,913",1069783318,2011
13,Georgia,119,"1,191,764",434994006,2011
13,Georgia,121,"25,986,280",9484992127,2011
13,Georgia,123,"611,164",223074933,2011
13,Georgia,125,"43,121",15739055.5,2011
13,Georgia,127,"2,273,806",829939007.5,2011
13,Georgia,129,"1,807,678",659802470,2011
13,Georgia,131,"500,775",182782802,2011
13,Georgia,133,"727,194",265425810,2011
13,Georgia,135,"14,889,690",5434736777,2011
13,Georgia,137,"928,524",338911369.5,2011
13,Georgia,139,"3,660,927",1336238355,2011
13,Georgia,141,"153,240",55932490.5,2011
13,Georgia,143,"705,858",257638097,2011
13,Georgia,145,"950,893",347075981.5,2011
13,Georgia,147,"436,029",159150694.5,2011
13,Georgia,149,"197,954",72253027.5,2011
13,Georgia,151,"4,558,927",1664008501,2011
13,Georgia,153,"2,689,190",981554313.5,2011
13,Georgia,155,"243,524",88886223.5,2011
13,Georgia,157,"2,115,284",772078550.5,2011
13,Georgia,159,"247,904",90484777.5,2011
13,Georgia,161,"238,805",87163825,2011
13,Georgia,163,"456,074",166467119.5,2011
13,Georgia,165,"213,865",78060652,2011
13,Georgia,167,"135,250",49366286.5,2011
13,Georgia,169,"603,522",220285384,2011
13,Georgia,171,"531,799",194106562,2011
13,Georgia,173,"152,293",55586799,2011
13,Georgia,175,"1,608,632",587150534,2011
13,Georgia,177,"491,230",179298986.5,2011
13,Georgia,179,"1,640,296",598708040,2011
13,Georgia,181,"132,283",48283112.5,2011
13,Georgia,183,"298,979",109127189,2011
13,Georgia,185,"2,901,807",1059159628,2011
13,Georgia,187,"438,675",160116265.5,2011
13,Georgia,189,"753,237",274931578,2011
13,Georgia,191,"1,119,788",408722693,2011
13,Georgia,193,"272,407",99428409,2011
13,Georgia,195,"502,211",183306942,2011
13,Georgia,197,"127,736",46623603.5,2011
13,Georgia,199,"600,439",219160308,2011
13,Georgia,201,"152,598",55698197,2011
13,Georgia,205,"537,501",196187974.5,2011
13,Georgia,207,"2,104,041",767975111,2011
13,Georgia,209,"185,137",67575078,2011
13,Georgia,211,"1,075,594",392591919.5,2011
13,Georgia,213,"557,598",203523233.5,2011
13,Georgia,215,"3,421,078",1248693324,2011
13,Georgia,217,"1,961,679",716012762,2011
13,Georgia,219,"969,853",353996308.5,2011
13,Georgia,221,"230,383",84089758.5,2011
13,Georgia,223,"1,713,494",625425164,2011
13,Georgia,225,"1,210,259",441744425.5,2011
13,Georgia,227,"638,448",233033666,2011
13,Georgia,229,"343,249",125286031,2011
13,Georgia,231,"338,079",123398798.5,2011
13,Georgia,233,"707,287",258159864.5,2011
13,Georgia,235,"223,777",81678678,2011
13,Georgia,237,"480,689",175451594.5,2011
13,Georgia,239,"70,083",25580331.5,2011
13,Georgia,241,"422,264",154126323.5,2011
13,Georgia,243,"144,011",52564015,2011
13,Georgia,245,"4,240,638",1547832907,2011
13,Georgia,247,"2,086,478",761564616,2011
13,Georgia,249,"105,875",38644229,2011
13,Georgia,251,"321,072",117191280,2011
13,Georgia,253,"184,948",67505910.5,2011
13,Georgia,255,"1,225,229",447208585,2011
13,Georgia,257,"467,732",170722216.5,2011
13,Georgia,259,"180,721",65963019,2011
13,Georgia,261,"577,177",210669751,2011
13,Georgia,263,"219,347",80061801,2011
13,Georgia,265,"268,462",97988630,2011
13,Georgia,267,"379,906",138665690,2011
13,Georgia,269,"234,273",85509572,2011
13,Georgia,271,"214,678",78357470,2011
13,Georgia,273,"309,668",113028710.5,2011
13,Georgia,275,"1,038,355",378999611.5,2011
13,Georgia,277,"1,473,491",537824142,2011
13,Georgia,279,"568,298",207428624,2011
13,Georgia,281,"228,878",83540287.5,2011
13,Georgia,283,"415,717",151736851,2011
13,Georgia,285,"2,218,691",809822069,2011
13,Georgia,287,"701,471",256036988,2011
13,Georgia,289,"720,555",263002429,2011
13,Georgia,291,"422,548",154230020,2011
13,Georgia,293,"406,706",148447507.5,2011
13,Georgia,295,"927,207",338430518.5,2011
13,Georgia,297,"1,430,079",521978798.5,2011
13,Georgia,299,"848,106",309558836,2011
13,Georgia,301,"434,372",158545926,2011
13,Georgia,303,"424,497",154941368.5,2011
13,Georgia,305,"628,316",229335449.5,2011
13,Georgia,307,"91,533",33409472,2011
13,Georgia,309,"144,940",52903136.5,2011
13,Georgia,311,"453,441",165506001.5,2011
13,Georgia,313,"2,753,839",1005151199,2011
13,Georgia,315,"136,626",49868380.5,2011
13,Georgia,317,"254,633",92941081.5,2011
13,Georgia,319,"307,116",112097194,2011
13,Georgia,321,"625,852",228435980,2011
15,Hawaii,1,"3,462,246",1263719769,2011
15,Hawaii,3,"12,659,806",4620829332,2011
15,Hawaii,7,"1,291,526",471406891.1,2011
15,Hawaii,9,"2,678,571",977678542.8,2011
16,Idaho,1,"7,020,693",2562552881,2011
16,Idaho,3,"140,204",51174530.08,2011
16,Idaho,5,"1,711,810",624810749.6,2011
16,Idaho,7,"175,531",64068906.98,2011
16,Idaho,9,"226,826",82791325.75,2011
16,Idaho,11,"1,171,757",427691390.8,2011
16,Idaho,13,"542,038",197843977.3,2011
16,Idaho,15,"263,810",96290527.36,2011
16,Idaho,17,"970,162",354109147.2,2011
16,Idaho,19,"1,905,761",695602662.8,2011
16,Idaho,21,"257,107",93843967.4,2011
16,Idaho,23,"147,346",53781268.1,2011
16,Idaho,25,"55,079",20103696.3,2011
16,Idaho,27,"3,467,370",1265590124,2011
16,Idaho,29,"175,902",64204271.61,2011
16,Idaho,31,"783,660",286035850.4,2011
16,Idaho,33,"143,945",52539932.3,2011
16,Idaho,35,"143,913",52528142.8,2011
16,Idaho,37,"160,515",58587839.95,2011
16,Idaho,39,"1,450,909",529581828.8,2011
16,Idaho,41,"186,042",67905154.8,2011
16,Idaho,43,"391,203",142789219.8,2011
16,Idaho,45,"283,644",103530006.7,2011
16,Idaho,47,"646,282",235893083.3,2011
16,Idaho,49,"514,611",187833153.7,2011
16,Idaho,51,"482,823",176230238.1,2011
16,Idaho,53,"1,003,439",366255189.7,2011
16,Idaho,55,"3,349,939",1222727662,2011
16,Idaho,57,"585,155",213581706.4,2011
16,Idaho,59,"158,108",57709493,2011
16,Idaho,61,"134,005",48911990.71,2011
16,Idaho,63,"202,374",73866359.62,2011
16,Idaho,65,"559,915",204369059,2011
16,Idaho,67,"497,688",181656222.9,2011
16,Idaho,69,"933,488",340722989.3,2011
16,Idaho,71,"364,333",132981550.1,2011
16,Idaho,73,"255,461",93243256.97,2011
16,Idaho,75,"563,456",205661500.6,2011
16,Idaho,77,"445,746",162697109,2011
16,Idaho,79,"475,371",173510328.1,2011
16,Idaho,81,"190,589",69565102.53,2011
16,Idaho,83,"1,144,124",417605228.2,2011
16,Idaho,85,"337,113",123046380.8,2011
16,Idaho,87,"201,669",73609314.21,2011
17,Illinois,1,"1,125,965",410977261.5,2011
17,Illinois,3,"280,448",102363614.9,2011
17,Illinois,5,"646,277",235891137.9,2011
17,Illinois,7,"1,284,462",468828476.7,2011
17,Illinois,9,"121,177",44229688.95,2011
17,Illinois,11,"1,245,754",454700148,2011
17,Illinois,13,"78,346",28596414.1,2011
17,Illinois,15,"304,370",111094947.8,2011
17,Illinois,17,"244,605",89280719.15,2011
17,Illinois,19,"4,133,724",1508809275,2011
17,Illinois,21,"727,866",265671031.6,2011
17,Illinois,23,"829,473",302757761.8,2011
17,Illinois,25,"296,792",108329233.3,2011
17,Illinois,27,"868,076",316847875.1,2011
17,Illinois,29,"1,219,846",445243676.9,2011
17,Illinois,31,"77,617,606",28330426303,2011
17,Illinois,33,"321,101",117201934.4,2011
