b'"ST","NAICS","ESTABF","ESTAB","RCPTOT_F","RCPTOT"
"01","81111",,2683,,93301
"01","81112",,1782,,77925
"01","81119",,1302,,47236
"01","8112",,781,,26931
"01","81121",,781,,26931
"01","8113",,946,,42480
"01","81131",,946,,42480
"01","8114",,3558,,75996
"01","81141",,620,,15943
"01","81142",,503,,10093
"01","81143",,50,,1508
"01","81149",,2385,,48452
"01","812",,25666,,421940
"01","8121",,11317,,193628
"01","81211",,10226,,179823
"01","812111",,1734,,27504
"01","812112",,7373,,127706
"01","812113",,1119,,24613
"01","81219",,1091,,13805
"01","8122",,246,,10216
"01","81221",,186,,8643
"01","81222",,60,,1573
"01","8123",,445,,13690
"01","81231",,261,,7501
"01","81232",,161,,5335
"01","81233",,23,,854
"01","8129",,13658,,204406
"01","81291",,337,,5448
"01","81292",,182,,3678
"01","81293",,42,,1015
"01","81299",,13097,,194265
"01","813",,4225,,54523
"02","00",,47691,,1721211
"02","11",,9570,,331099
"02","113",,191,,5721
"02","114",,9191,,319238
"02","1141",,8892,,310245
"02","11411",,8892,,310245
"02","1142",,299,,8993
"02","11421",,299,,8993
"02","115",,188,,6140
"02","1151",,32,,1223
"02","11511",,32,,1223
"02","1152",,106,,3568
"02","11521",,106,,3568
"02","1153",,50,,1349
"02","11531",,50,,1349
"02","21",,205,,8311
"02","211","D",0,"D",0
"02","2111","D",0,"D",0
"02","21111","D",0,"D",0
"02","212",,164,,6292
"02","2121","D",0,"D",0
"02","21211","D",0,"D",0
"02","2122",,132,,5284
"02","2123","D",0,"D",0
"02","213","D",0,"D",0
"02","2131","D",0,"D",0
"02","21311","D",0,"D",0
"02","22",,85,,3060
"02","221",,85,,3060
"02","23",,3896,,189896
"02","233",,949,,76098
"02","2331",,135,,10430
"02","23311",,135,,10430
"02","2332",,666,,56240
"02","2333",,148,,9428
"02","234",,180,,8957
"02","2341",,39,,1876
"02","2349",,141,,7081
"02","235",,2767,,104841
"02","2351",,203,,9131
"02","23511",,203,,9131
"02","2352",,240,,6815
"02","23521",,240,,6815
"02","2353",,145,,6430
"02","23531",,145,,6430
"02","2354",,222,,11563
"02","2355",,887,,30106
"02","2356",,68,,4217
"02","23561",,68,,4217
"02","2357","D",0,"D",0
"02","23571","D",0,"D",0
"02","2358","D",0,"D",0
"02","23581","D",0,"D",0
"02","2359",,928,,32588
"02","31-33",,1011,,24304
"02","311",,74,,3123
"02","3111","D",0,"D",0
"02","31111","D",0,"D",0
"02","3113",,5,,90
"02","3114",,5,,57
"02","3116","D",0,"D",0
"02","31161","D",0,"D",0
"02","3117",,19,,1780
"02","31171",,19,,1780
"02","3118",,16,,556
"02","3119",,24,,547
"02","312",,6,,385
"02","313","D",0,"D",0
"02","314",,5,,129
"02","315",,92,,1345
"02","316",,34,,763
"02","3161",,19,,397
"02","31611",,19,,397
"02","3169",,15,,366
"02","31699",,15,,366
"02","321",,156,,3559
"02","322","D",0,"D",0
"02","323",,69,,2159
"02","3231",,69,,2159
"02","324","D",0,"D",0
"02","3241","D",0,"D",0
"02","325",,20,,276
"02","3251","D",0,"D",0
"02","3252","D",0,"D",0
"02","3255","D",0,"D",0
"02","3256","D",0,"D",0
"02","3259",,6,,117
"02","326","D",0,"D",0
"02","327",,58,,1138
"02","3271",,25,,390
"02","3272",,22,,204
"02","32721",,22,,204
"02","3273","D",0,"D",0
"02","3279","D",0,"D",0
"02","331","D",0,"D",0
"02","332",,93,,2640
"02","333","D",0,"D",0
"02","334","D",0,"D",0
"02","335",,6,,402
"02","336",,20,,1063
"02","337",,37,,789
"02","339",,301,,5640
"02","3391","D",0,"D",0
"02","33911","D",0,"D",0
"02","3399","D",0,"D",0
"02","42",,663,,31975
"02","421",,366,,20425
"02","4211",,14,,1012
"02","4212",,9,,525
"02","4213",,14,,4100
"02","4214",,20,,1863
"02","4215","D",0,"D",0
"02","4216",,11,,1662
"02","4217",,9,,541
"02","4218","D",0,"D",0
"02","4219",,258,,7733
"02","42191",,41,,1173
"02","42192",,27,,921
"02","42193",,12,,230
"02","42194",,45,,1358
"02","42199",,133,,4051
"02","422",,297,,11550
"02","4221","D",0,"D",0
"02","4222","D",0,"D",0
"02","42221","D",0,"D",0
"02","4223",,26,,401
"02","4224",,52,,2918
"02","4225",,9,,348
"02","4226",,5,,307
"02","4227",,7,,1093
"02","4228",,6,,273
"02","4229",,175,,5957
"02","42291","D",0,"D",0
"02","42292",,43,,537
"02","42293","D",0,"D",0
"02","42294","D",0,"D",0
"02","42295","D",0,"D",0
"02","42299",,109,,4733
"02","44-45",,4325,,150383
"02","441",,194,,23017
"02","4411",,76,,12436
"02","44112",,76,,12436
"02","4412",,69,,7128
"02","44121",,12,,428
"02","44122",,57,,6700
"02","441221","D",0,"D",0
"02","441222","D",0,"D",0
"02","441229",,37,,3942
"02","4413",,49,,3453
"02","442",,32,,3155
"02","4421",,9,,1351
"02","44211",,9,,1351
"02","4422",,23,,1804
"02","443",,58,,4192
"02","4431",,58,,4192
"02","44311",,38,,2131
"02","443111",,10,,439
"02","443112",,28,,1692
"02","44312","D",0,"D",0
"02","44313","D",0,"D",0
"02","444",,101,,7523
"02","4441",,73,,6484
"02","44411","D",0,"D",0
"02","44412","D",0,"D",0
"02","44413",,17,,2015
"02","44419",,47,,4311
"02","4442",,28,,1039
"02","445",,160,,13592
"02","4451",,75,,8067
"02","4452",,67,,3542
"02","44521","D",0,"D",0
"02","44522",,7,,327
"02","44523","D",0,"D",0
"02","44529",,51,,2762
"02","4453",,18,,1983
"02","44531",,18,,1983
"02","446",,171,,2236
"02","4461",,171,,2236
"02","44611",,6,,45
"02","44612","D",0,"D",0
"02","44613","D",0,"D",0
"02","44619",,90,,1439
"02","447",,24,,3525
"02","4471",,24,,3525
"02","448",,193,,11450
"02","4481",,112,,6502
"02","44812",,29,,2157
"02","44813",,5,,118
"02","44814",,18,,744
"02","44815",,22,,495
"02","44819",,38,,2988
"02","4482","D",0,"D",0
"02","44821","D",0,"D",0
"02","4483","D",0,"D",0
"02","44831","D",0,"D",0
"02","44832","D",0,"D",0
"02","451",,321,,9176
"02","4511",,247,,7419
"02","45111",,128,,4761
"02","45112","D",0,"D",0
"02","45113",,60,,1040
"02","45114","D",0,"D",0
"02","4512",,74,,1757
"02","45121","D",0,"D",0
"02","451211",,32,,1016
"02","451212","D",0,"D",0
"02","45122","D",0,"D",0
"02","452",,88,,5128
"02","453",,870,,32530
"02","4531",,34,,1698
"02","45311",,34,,1698
"02","4532",,341,,11766
"02","45321",,11,,304
"02","45322",,330,,11462
"02","4533",,72,,1599
"02","45331",,72,,1599
"02","4539",,423,,17467
"02","45391",,28,,1096
"02","45392",,78,,1937
"02","45393",,5,,281
"02","45399",,312,,14153
