,STATE_CODE,COUNTY_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
149,5,69,448580437.2,435346121.5,439977621.1,452132354.8,478579001.4,458215912,471220234.1,459085298.1,448753950.6,,,439196992,442598848,435909184,427885792,444552064,448870105.8,453317659.4,456992015.8,457787853.4,401116363
150,5,71,235663015.3,229249134.3,226258484.9,234907780.4,243755282.6,247262884.4,239000240.7,239007595.5,249898881.8,,,244278560,228985712,229659888,239908768,242920672,245007453.9,264106475.9,256743734.2,265842146.9,206701300.6
151,5,73,33818949,32514346,31434311,29616611,31475268,30029791,31306561,32855475,29821826.4,,,31500628,30215944,28556314,28085892,29694620,29423511.16,26924642.93,29266598.63,28222225.23,29770866.02
152,5,75,141247711.9,135483152.8,147514917.9,145707142.3,153284606.4,142502073.6,145246756.8,149616485.7,146795536.2,,,133446072,138232768,143756416,143217104,151370880,180923826.2,172366786.8,175368336.2,175688377.3,177423736.4
153,5,77,59644586.1,60294842.75,59340386,56405329.75,54784032.9,51896557.75,51415524.25,50620280.5,54570640.26,,,48679140,48825176,46783892,56674192,46308352,50019412.69,53142365.17,48579945.47,50040169.94,46488630.09
154,5,79,71255076,70219488.4,70914703.9,76148913.4,73926894.3,68366781.25,65532994.25,66339042,62874408,,,55139144,55103804,61018680,58326568,61422436,62679761.51,63306474.91,61859653.96,65467515.44,63317579.47
155,5,81,73311637.32,71467569.4,67836845.05,72615830.2,68733182.28,52580757.55,76965608.2,72489934.4,69639317.76,,,67077696,65462120,64732708,67887152,69143664,72738559.64,69173245.47,69076750.42,71682420.08,67236405.52
156,5,83,2008608,1962240,2084880,2207520,2090592,2084880,2125760,2003120,2090592,,,1965984.5,1894926.25,1910405.375,1871382.125,1925126,2083125.6,1995966,1914498,1995966,2001434.4
157,5,85,456942948,445803335,447939680,467543465,489253428,486449735,479353740.8,497698699.2,476172588,,,518522688,521061056,537999936,529031136,549882944,563761922.3,581155167.7,584433271.8,595260365.7,448093435.8
158,5,87,38671168.38,44238671.6,46736746.2,47722147.65,51931172.7,53520106.95,55042886.95,53673180.65,49114861.26,,,63584668,64715264,63144736,65286576,67608808,71997243.48,73097415.58,73766465.69,78838705.71,60858415.22
159,5,89,59754393.42,56915625.3,58756590.4,58997552.45,62713993.86,61784619.45,61289383.8,56512190.8,52696522.62,,,53648736,53311872,53169160,53939300,55813160,58280438.59,60244716.57,56228945.33,61947438.65,60520535.36
160,5,91,323340976.1,323007574.9,330293504.2,354616104.1,371936399.2,403549807.2,406483874.3,406116173.3,407456940.8,,,382150944,416042112,367030976,377202912,393527968,401353804.4,400407080.5,413781288.6,428516942.3,387400231.2
161,5,93,380593474.1,403606513.6,411644390.3,379817441.5,393176788.3,369475867.3,392741102.3,381570299.2,402847159.8,,,350272000,356171968,341957280,359176864,431210752,373684186.5,405948484.2,405474047.4,406198724.9,271586876.1
162,5,95,191179697.4,197808300.8,193789544.9,196613144.8,205105126.3,204232651.2,200043020.6,196950379.2,194390933.8,,,191110640,193063296,184578560,185497936,184108128,186174616.7,190472143.5,203224070.4,184146392,188454338.1
163,5,97,38537325.84,36568941.2,37911747,34401366.8,33734897.1,34876815.8,32512929.8,36837318.4,31967633.16,,,33529234,34718888,33030554,33354618,34013820,36403391.75,34802313.83,35982939.54,34837867.38,33193165.13
164,5,99,89662680,106996100,114927550,117803750,119130072,114941420,107711500,126126115,123997140,,,116439440,123599832,130256320,127805248,130935408,127882962,144234998.3,155029764.6,157659252.7,151239252
165,5,101,7736142,8185125,8252650,8330030,8754720,8780075,8569470,8889940,8478024,,,8400344,8343494.5,8079490,8944154,8079201.5,8614424.88,8291123.19,8633440.63,8179433.555,6908944.668
166,5,103,117461456,113476164,114981935,114555425.2,119460405.3,107363563.8,110489909.2,107374564.9,106053283.6,,,103239848,103187912,100929936,98139488,103003112,100544109.6,107180598,102468022.4,104447518.5,99007209.37
167,5,105,7644407.76,7735284.4,8847308,8249219,8638624.8,8775184,7506706.8,8105190,8378149.92,,,7110054,7574872.5,7256406,7142554.5,7792734.5,7793710.872,8506928.71,8161378.1,8196801.35,5269631.4
168,5,107,89490960.12,86102018.1,86249857.7,83851891.65,85813022.46,76705052.95,79210329,83716111.65,78877692.12,,,81139808,79890136,70034112,83511992,68983472,76249388.29,76304124.91,69841757.93,70935019.44,67704011.51
170,5,111,149578226.9,146574630.5,146937064.5,149410085.5,153025368.6,156157891.6,148344522.8,150112217.8,144918084.3,,,152120112,152785568,153066352,148948864,163562368,160581710.9,159541786.2,173039629.2,165604544.9,151434240.7
