ST,CO,2016,2017,2018,2019,2020,average
5,63,0.441046524,0.441140319,0.432618746,0.431243508,0.433239741,0.435857768
5,65,0,0,0,0,0,0
5,67,0.472116535,0.509048497,0.512665704,0.516383289,0.468976363,0.495838078
5,69,0.61879915,0.621880973,0.623589169,0.625736772,0.604153536,0.61883192
5,71,0.660914502,0.675520248,0.67627965,0.67129843,0.642289945,0.665260555
5,73,0.375685516,0.363605892,0.373753328,0.36886851,0.390747867,0.374532223
5,75,0.695682043,0.650861139,0.661305231,0.663718019,0.691967535,0.672706793
5,77,0.634676626,0.637806077,0.628210652,0.634144932,0.604963798,0.627960417
5,79,0.518516798,0.500181269,0.494642711,0.496140088,0.514374473,0.504771068
5,81,0.494795811,0.505239928,0.484834118,0.488602973,0.481265305,0.490947627
5,83,0.013869608,0.012827412,0.012584796,0.012983951,0.012937412,0.013040636
5,85,0.690503835,0.687946371,0.686793915,0.696218353,0.669452311,0.686182957
5,87,0.432996636,0.452629813,0.452532822,0.463298797,0.426812163,0.445654046
5,89,0.477332116,0.483669503,0.470153116,0.476777682,0.474532071,0.476492898
5,91,0.738124262,0.730097198,0.740096868,0.749085819,0.744325718,0.740345973
5,93,0.615236699,0.632640968,0.63256052,0.632701178,0.56433592,0.615495057
5,95,0.814389184,0.827122383,0.837574875,0.831973319,0.843987808,0.831009514
5,97,0.387717043,0.375704478,0.366610051,0.363795122,0.368726342,0.372510607
5,99,0.623582456,0.657648916,0.665225284,0.65761097,0.68175749,0.657165023
5,101,0.12503345,0.144017993,0.14965358,0.12973767,0.133540307,0.1363966
5,103,0.470686405,0.483182844,0.484408687,0.486408934,0.501340992,0.485205572
5,105,0.088618236,0.100062867,0.094124073,0.097112199,0.075369331,0.091057341
5,107,0.514952132,0.501218736,0.496904827,0.497763198,0.504367897,0.503041358
5,109,0,0,0,0,0,0
5,111,0.526735056,0.54339305,0.54860995,0.551012066,0.549722307,0.543894486
5,113,0.593350658,0.590401259,0.593331386,0.598646358,0.594470436,0.594040019
5,115,0.558233739,0.558366497,0.559772732,0.575397219,0.570881379,0.564530313
5,117,0.711892834,0.740523907,0.755221341,0.733679185,0.778876479,0.744038749
5,119,0.699904166,0.699011958,0.701066749,0.704300489,0.696679911,0.700192655
5,121,0.426604193,0.458943972,0.467457027,0.481117611,0.464393818,0.459703324
5,123,0.862153027,0.86571099,0.858821288,0.876802178,0.862387133,0.865174923
5,125,0.582396673,0.575018178,0.578429414,0.582698935,0.642211334,0.592150907
5,127,0.681662006,0.659118012,0.657003235,0.671269832,0.660970151,0.666004647
5,129,0.719533232,0.725244171,0.70845521,0.711586542,0.684061207,0.709776072
5,131,0.548067606,0.555410967,0.55220667,0.547960712,0.555043661,0.551737923
5,133,0.580683882,0.583585099,0.589437689,0.566559959,0.575742187,0.579201763
5,135,0.714433413,0.703564316,0.713361865,0.712351335,0.717109254,0.712164037
5,137,0,0,0,0,0,0
5,139,0.587626115,0.581604081,0.591540967,0.585553169,0.582027023,0.585670271
5,141,0.579126066,0.581419145,0.569106629,0.572801029,0.570418554,0.574574285
5,143,0.549475316,0.555908355,0.548028214,0.550944024,0.542756655,0.549422513
5,145,0.528543635,0.521054602,0.540899543,0.528569932,0.536403958,0.531094334
5,147,0,0,0,0,0,0
5,149,0.225116878,0.217033304,0.225204057,0.228289494,0.225049944,0.224138735
6,1,0.78325772,0.783307689,0.766838851,0.764018726,0.775434155,0.774571428
6,3,0.479553772,0.479553772,0.493076441,0.278900142,0.281146073,0.40244604
6,5,0.638765112,0.638872654,0.645108523,0.69130503,0.689025479,0.66061536
6,7,0.584378871,0.525573137,0.533326452,0.556003661,0.562365351,0.552329494
6,9,0.303302392,0.306865616,0.315664783,0.31168296,0.313792068,0.310261564
6,11,0.882622257,0.882022257,0.885758984,0.878610087,0.877198813,0.88124248
6,13,0.772480315,0.767922425,0.763665647,0.762634842,0.768761901,0.767093026
6,15,0.679423606,0.671840807,0.696264836,0.689191198,0.783379364,0.704019962
6,17,0.526291478,0.52177407,0.543374859,0.550561548,0.531993107,0.534799012
6,19,0.615179055,0.613039922,0.576450889,0.578746172,0.541264107,0.584936029
6,21,0.650027032,0.72286788,0.727758949,0.731337115,0.722177631,0.710833721
6,23,0.659787503,0.659973468,0.66261392,0.657166448,0.656445525,0.659197373
6,25,0.698070187,0.696425763,0.648223297,0.675205339,0.687299559,0.681044829
6,27,0.576333806,0.576972695,0.565854994,0.576479095,0.643796425,0.587887403
6,29,0.697215625,0.695477567,0.689439291,0.691189429,0.696891314,0.694042645
6,31,0.579758031,0.575946622,0.583598235,0.587590057,0.571545225,0.579687634
6,33,0.358979314,0.359877597,0.357662412,0.478684133,0.484765708,0.407993833
6,35,0.577325404,0.575773681,0.584118059,0.669007553,0.658243651,0.61289367
6,37,0.72804528,0.727599513,0.720922984,0.720030517,0.750110235,0.729341706
6,39,0.686991597,0.684077427,0.701251062,0.697736408,0.688616372,0.691734573
6,41,0.704395866,0.70504972,0.662659159,0.656436643,0.68783521,0.68327532
6,43,0.624145608,0.62411076,0.632621254,0.627276434,0.613822928,0.624395397
6,45,0.507961866,0.53438938,0.52699944,0.520419607,0.547498923,0.527453843
6,47,0.706657401,0.70407109,0.707282536,0.734202965,0.736724635,0.717787725
6,49,0.342644977,0.341081775,0.370768511,0.631157826,0.636448771,0.464420372
6,51,0.616335898,0.616292383,0.711137329,0.710284231,0.742568769,0.679323722
6,53,0.694495238,0.680489696,0.681508331,0.678585918,0.678030666,0.68262197
6,55,0.474420888,0.467723809,0.419428951,0.420399665,0.451769017,0.446748466
6,57,0.720333432,0.71955658,0.70512906,0.710432556,0.720144468,0.715119219
6,59,0.808986508,0.808195378,0.800329034,0.806100926,0.805616028,0.805845575
6,61,0.672948751,0.667074982,0.67749672,0.67138312,0.667298575,0.67124043
6,63,0,0,0,0,0,0
6,65,0.646372056,0.644572429,0.662308552,0.661441215,0.674224715,0.657783793
6,67,0.760116112,0.74668951,0.750362634,0.773031051,0.779382913,0.761916444
6,69,0.734606052,0.729430524,0.749647674,0.764019942,0.774251936,0.750391226
6,71,0.711714152,0.710877116,0.723497051,0.722217276,0.722424629,0.718146045
6,73,0.715160862,0.709730858,0.697475412,0.694495817,0.706538899,0.70468037
6,75,0.717954609,0.713750744,0.694221895,0.682758293,0.764821698,0.714701448
6,77,0.780561691,0.777645364,0.7850773,0.789211027,0.805054087,0.787509894
6,79,0.623183292,0.622957259,0.637005637,0.630599321,0.633561585,0.629461419
6,81,0.740214756,0.735031255,0.741583116,0.742968011,0.747353084,0.741430044
6,83,0.642721561,0.640834246,0.645635923,0.641237813,0.648097368,0.643705382
6,85,0.7821377,0.7861559,0.784892078,0.786255344,0.794433979,0.786775
6,87,0.543605979,0.545692158,0.538309753,0.495672853,0.535183405,0.53169283
6,89,0.619011301,0.615385836,0.617311747,0.6120666,0.626827027,0.618120502
6,91,0.570424793,0.570835332,0.555569865,0.586228948,0.438425002,0.544296788
6,93,0.672614215,0.673065465,0.689896969,0.693802653,0.692752941,0.684426449
6,95,0.837408563,0.837116059,0.82987927,0.832082414,0.838992108,0.835095683
6,97,0.520892279,0.5137051,0.499647901,0.512292475,0.510210439,0.511349639
6,99,0.58439393,0.581016054,0.592924697,0.607697071,0.609198663,0.595046083
6,101,0.649163818,0.670223124,0.679202334,0.650577279,0.650010912,0.659835493
6,103,0.669868573,0.726876628,0.730639037,0.731011777,0.726696902,0.717018583
6,105,0.526689007,0.533933987,0.51730559,0.572305225,0.568493979,0.543745558
6,107,0.617887419,0.608431283,0.590488464,0.588299573,0.608743625,0.602770073
6,109,0.47967063,0.480921992,0.493821852,0.473113314,0.505152915,0.486536141
6,111,0.733527257,0.73284605,0.733315616,0.733975468,0.737021386,0.734137155
6,113,0.738303864,0.719969746,0.722159941,0.710007185,0.708499088,0.719787965
6,115,0.640455125,0.638863236,0.650155522,0.620847319,0.597724619,0.629609164
8,1,0.79906563,0.796817066,0.796300657,0.794633338,0.782542178,0.793871774
8,3,0.779267628,0.774185822,0.792059309,0.775850842,0.776267286,0.779526177
8,5,0.764304767,0.762399263,0.76523582,0.760932193,0.750517111,0.760677831
