"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","4232","S",,158,"G",,6610
"01","4232","P",,5,"H",,1679
"01","4233","-",,136,"G",,12518
"01","4233","C",,22,"H",,3655
"01","4233","S",,104,"H",,7957
"01","4233","P",,10,"H",,906
"01","4234","-",,157,"G",,9794
"01","4234","C",,25,"H",,2452
"01","4234","S",,123,"G",,6021
"01","4234","P",,9,"H",,1321
"01","4235","-",,80,"G",,7918
"01","4235","C",,5,"H",,841
"01","4235","S",,67,"G",,6387
"01","4235","P",,8,"G",,690
"01","4236","-",,99,"G",,8983
"01","4236","C",,17,"H",,2779
"01","4236","S",,74,"G",,4499
"01","4236","P",,8,"H",,1705
"01","4237","-",,61,"G",,6422
"01","4237","C",,11,"H",,1632
"01","4237","S",,47,"G",,4265
"01","4237","P",,3,"G",,525
"01","4238","-",,240,"G",,26154
"01","4238","C",,43,"G",,6071
"01","4238","S",,179,"G",,17653
"01","4238","P",,18,"H",,2430
"01","4239","-",,1249,"G",,81976
"01","4239","C",,117,"G",,16049
"01","4239","S",,1078,"G",,59642
"01","4239","P",,54,"G",,6285
"01","42391","-",,128,"G",,6810
"01","42391","C",,16,"G",,2246
"01","42391","S",,102,"H",,4115
"01","42391","P",,10,"G",,449
"01","42392","-",,65,"G",,1684
"01","42392","C",,6,"G",,401
"01","42392","S",,56,"H",,1275
"01","42392","P","D",0,"D","D",0
"01","42393","-",,266,"G",,18121
"01","42393","C",,12,"H",,2045
"01","42393","S",,243,"G",,13717
"01","42393","P",,11,"H",,2359
"01","42394","-",,203,"G",,14786
"01","42394","C",,10,"H",,2106
"01","42394","S",,187,"H",,12261
"01","42394","P",,6,"G",,419
"01","42399","-",,587,"G",,40575
"01","42399","C",,73,"G",,9251
"01","42399","S",,490,"G",,28274
"01","42399","P",,24,"G",,3050
"01","424","-",,1791,"G",,132939
"01","424","C",,192,"G",,26721
"01","424","S",,1522,"G",,94631
"01","424","P",,77,"G",,11587
"01","4241","-",,92,"G",,8694
"01","4241","C",,12,"G",,1668
"01","4241","S",,76,"H",,6441
"01","4241","P",,4,"G",,585
"01","4242","-",,53,"G",,8436
"01","4242","C",,10,"G",,2072
"01","4242","S",,41,"G",,5470
"01","4242","P","D",0,"D","D",0
"01","42421","-",,53,"G",,8436
"01","42421","C",,10,"G",,2072
"01","42421","S",,41,"G",,5470
"01","42421","P","D",0,"D","D",0
"01","4243","-",,256,"H",,8721
"01","4243","C",,17,"H",,1480
"01","4243","S",,225,"H",,5921
"01","4243","P","D",0,"D","D",0
"01","4244","-",,380,"G",,49479
"01","4244","C",,53,"G",,10972
"01","4244","S",,313,"G",,35439
"01","4244","P",,14,"H",,3068
"01","4245","-",,63,"H",,6722
"01","4245","C",,8,"H",,1141
"01","4245","S","D",0,"D","D",0
"01","4245","P",,4,"H",,1031
