ST,CO,YEAR,VMT_Total
17.0,77.0,2016.0,216745536.72000003
17.0,79.0,2016.0,0.0
17.0,81.0,2016.0,518191876.79999995
17.0,83.0,2016.0,68811572.16
17.0,85.0,2016.0,134287317.84
17.0,87.0,2016.0,171482071.5
17.0,89.0,2016.0,1913284533.42
17.0,91.0,2016.0,417184393.62
17.0,93.0,2016.0,247429186.98000002
17.0,95.0,2016.0,210088187.04
17.0,97.0,2016.0,3083876285.34
17.0,99.0,2016.0,785103057.1200001
17.0,101.0,2016.0,72166595.34
17.0,103.0,2016.0,356838211.14
17.0,105.0,2016.0,316907128.02
17.0,107.0,2016.0,384226595.03999996
17.0,109.0,2016.0,100044987.35999998
17.0,111.0,2016.0,1107744149.76
17.0,113.0,2016.0,1043595146.76
17.0,115.0,2016.0,408898182.9
17.0,117.0,2016.0,204033599.1
17.0,119.0,2016.0,1656833091.42
17.0,121.0,2016.0,314839615.97999996
17.0,123.0,2016.0,105763814.22
17.0,125.0,2016.0,22667602.439999998
17.0,127.0,2016.0,131858867.58
17.0,129.0,2016.0,0.0
17.0,131.0,2016.0,29778305.340000004
17.0,133.0,2016.0,218204259.0
17.0,135.0,2016.0,322381880.46
17.0,137.0,2016.0,185164717.98
17.0,139.0,2016.0,70695235.08
17.0,141.0,2016.0,376796666.94000006
17.0,143.0,2016.0,780790142.4
17.0,145.0,2016.0,67325407.2
17.0,147.0,2016.0,153949456.38
17.0,149.0,2016.0,171743724.9
17.0,151.0,2016.0,0.0
17.0,153.0,2016.0,79107240.0
17.0,155.0,2016.0,8249881.56
17.0,157.0,2016.0,108926581.25999999
17.0,159.0,2016.0,37527630.66
17.0,161.0,2016.0,585098334.78
17.0,163.0,2016.0,1644537372.6599998
17.0,165.0,2016.0,79993820.10000001
17.0,167.0,2016.0,1202667344.1000001
17.0,169.0,2016.0,43804746.6
17.0,171.0,2016.0,52893803.94
17.0,173.0,2016.0,84731704.74000001
17.0,175.0,2016.0,0.0
17.0,177.0,2016.0,143640213.6
17.0,179.0,2016.0,594596543.52
17.0,181.0,2016.0,162116021.70000002
17.0,183.0,2016.0,371762973.78000003
17.0,185.0,2016.0,47250336.48
17.0,187.0,2016.0,66660795.120000005
17.0,189.0,2016.0,276964054.74
17.0,191.0,2016.0,157577877.9
17.0,193.0,2016.0,111099204.84
17.0,195.0,2016.0,240366441.05999997
17.0,197.0,2016.0,3529557168.12
17.0,199.0,2016.0,451100874.3
17.0,201.0,2016.0,1290224601.78
17.0,203.0,2016.0,240784021.44000003
18.0,1.0,2016.0,102776998.02
18.0,3.0,2016.0,1294528494.6000001
18.0,5.0,2016.0,556618293.66
18.0,7.0,2016.0,29700054.54
18.0,9.0,2016.0,0.0
18.0,11.0,2016.0,648700735.0799999
18.0,13.0,2016.0,55091048.339999996
18.0,15.0,2016.0,5904641.399999999
18.0,17.0,2016.0,48758036.879999995
18.0,19.0,2016.0,707439079.56
18.0,21.0,2016.0,181465545.0
18.0,23.0,2016.0,227827039.5
18.0,25.0,2016.0,123945211.92
18.0,27.0,2016.0,144590821.74
18.0,29.0,2016.0,327013782.48
18.0,31.0,2016.0,300723537.66
18.0,33.0,2016.0,331104249.72
18.0,35.0,2016.0,534736610.34
18.0,37.0,2016.0,117059053.67999999
18.0,39.0,2016.0,937573635.6
