Sum of Capital Funding,Column Labels,,,,,,,,,,,,,,,,,,
Row Labels,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,(blank),Grand Total
13295,3186728.642,8989787.876,5082250.894,8319296.052,21018219.62,11287290.9,10390689.39,1535255.858,2369683.288,2875897.139,722968.6277,950101.6013,1011030.445,1267110.741,2459129.437,2018782.867,1230793.865,,84715017.24
13297,224740239.3,337879660.7,162791978,432578210.4,232484347.1,178681628.9,131353866.5,34491490.43,33526285.32,59923838.41,22352487.07,34538128.39,16556692.97,37570309.73,49596592.46,30564846.75,26037745.24,,2045668348
15009,0,0,0,0,0,0,0,0,0,1519714,1467672,1652810,2566432,1142011,2079273,3298592,1650739,,15377243
16001,1013788,343970,444770,1368417,1115811,505493,3296716,8083110,5572451,6205956,9702688,6311403,5450583,991549,2420698,1537178,6175284,,60539865
16005,,,,,,,,55974,391573,4998187,334643,17684,508738,709094,1157055,84496,48318,,8305762
16019,,,,,,,,347345,30830,74630,59409,0,0,0,0,0,0,,512214
16055,0,0,0,0,0,0,0,0,0,0,50090,240798,368711,71637,45612,517671,972693,,2267212
17007,,,,,,,,2158105,4005761,546030,1227119,1118700,1470418,1460690,3682081,4692952,4773724,,25135580
17019,405361,1451206,2210964,2822043,2502221,6715190,20624616,10281634,7683335,5386103,3114911,7510788,22292998,7127746,5713134,14314071,17570083,,137726404
17031,6476381184,7767965973,7547075916,9717728001,7162016941,4581225093,5170425195,5996486893,7860184733,6612308020,6429391182,6207100002,6315979414,6023661983,6569279463,8185630904,8529965135,,1.17153E+11
17037,,,,,,,,19478626.64,34044384.62,20190567.42,19960452.84,17163679.07,16393767.01,21521942.88,17716453.6,25057421.71,22536092.63,,214063388.4
17043,339298347.8,361690675.8,322921851.9,671920776.6,406617677.3,252046214.3,282949837.4,158965010.6,201141653,177296094.8,186031272.5,180598533.8,166448637.4,183315666.3,159731844.3,197025088.5,276405612.9,,4524404795
17073,,,,,,,,1497899.286,7076525.168,7592114.038,1083149.572,1518339.319,5276641.272,2695598.077,1697769.952,2143918.752,1496109.42,,32078064.86
17077,0,0,0,0,0,0,0,2647652.966,893189.3793,1762995.862,3577430.621,3348781.655,366324.9655,891438.8966,5456083.862,272612.8276,1796905.793,,21013416.83
17085,,,,,,,,791306.8511,75943.98245,61495.57691,72936.0055,16496.09949,544585.0053,986737.442,85206.4164,568105.0688,54856.03535,,3257668.483
17089,135587558.6,155300781.4,119937762.3,223173077.7,134086917.7,81353899.68,128332714.3,89012464.42,85420081.26,72674014.35,70437924.37,65761476.73,65191914.67,53665305.69,90789976.95,104342765.2,110389626.5,,1785458262
17091,0,60974,191521,891017,1159175,1582208,125329,88702,391991,210568,0,80230,0,94482,1968900,676044,930798,,8451939
17093,,,,,,,,6646136.172,2963623.935,8379211.451,2625888.738,10539974.32,7155039.89,6331503.369,3858208.156,8983087.625,4435051.453,,61917725.11
17097,,,,,,,,143964025.7,178698672.6,163110169,126407982.6,130498448.8,167427933.4,160147163.4,155552309.5,197622097.7,230194768.5,,1653623571
17111,,,,,,,,29248809.98,50485628.13,33560733.04,37301591.94,43307165.57,48928838.63,44418726.49,40576141.27,46978293.19,56652193,,431458121.2
17113,1597268,126802,0,639172,0,7104095,2673152,247877,1352211,536745,124731,3114101,4278265,5410581,955601,799454,2800391,,31760446
17115,21540,18164,35603,152477,28872,1686771,1715260,4085,122050,68541,137100,33694,0,101918,95131,5745197,2119593,,12085996
17143,,,,,,,,2008868,7402265,483975,1117571,614655,4591848,2355605,1113922,2834014,6801247,,29323970
17161,,,,,,,,7393622.949,17948369.16,24698956.02,4314912.814,7795544.349,22049608.62,7487336.416,5208449.149,10245713.38,6504154.084,,113646666.9
17163,,,,,,,,20317492.26,15859817.56,17331069.9,21571663.7,35846064.2,16132466.82,11329187.87,11129600.78,13933768.04,18810860.96,,182261992.1
17167,254137,1244015,638137,362318,1350057,1866686,3956155,5614033,2170673,6514864,2258861,1290591,3451387,9743460,2245424,3756284,1656645,,48373727
17183,56205,58184,0,891480,348139,181315,1604419,139704,165020,396855,27991,1147189,2907783,376137,846284,0,0,,9146705
17199,0,0,0,0,0,0,0,2836771.034,956988.6207,1888924.138,3832961.379,3587980.345,392491.0345,955113.1034,5845804.138,292085.1724,1925256.207,,22514375.17
17201,,,,,,,,27687.70458,102074.7752,1359615.806,77643.19153,0,0,52586.94501,500524.414,1099592.56,497092.8848,,3716818.282
18003,,,,,,,,6667120,3892252,864147,2571799,688719,1094513,1596289,1165845,288003,586272,,19414959
18011,,,,,,,,504822.7792,420269.2696,1097854.002,2151565.361,1690478.65,410180.0158,2500921.907,8029849.987,2802963.874,2643248.832,,22252154.68
