Year,ST,CO,VMT
2016,13,287,252936195
2016,13,289,238486767.5
2016,13,291,122970707.6
2016,13,293,89644081.71
2016,13,295,138973936.9
2016,13,297,269361268.5
2016,13,299,225913686.7
2016,13,301,135925629
2016,13,303,27983726.82
2016,13,305,161201327.3
2016,13,307,26753655.72
2016,13,309,28139845.95
2016,13,311,55513642.92
2016,13,313,742980109.8
2016,13,315,19529503.8
2016,13,317,59814485.13
2016,13,319,64508451.6
2016,13,321,151727444.8
2016,15,1,586973232
2016,15,3,3645787458
2016,15,7,187088180.8
2016,15,9,529646650.5
2016,16,1,1939135362
2016,16,3,37453548.6
2016,16,5,513455397.6
2016,16,7,62663226
2016,16,9,34667556.6
2016,16,11,339037402.2
2016,16,13,26331613.8
2016,16,15,59620009.2
2016,16,17,147462571.2
2016,16,19,458913711.6
2016,16,21,88636708.8
2016,16,23,43873408.2
2016,16,25,17873793
2016,16,27,963949751.3
2016,16,29,37124551.2
2016,16,31,211613257.8
2016,16,33,45194338.8
2016,16,35,19464063
2016,16,37,25961474.34
2016,16,39,480352527.6
2016,16,41,0
2016,16,43,94378846.2
2016,16,45,27897069
2016,16,47,185292624
2016,16,49,115187428.5
2016,16,51,56459672.4
2016,16,53,361688154
2016,16,55,812520878.4
2016,16,57,55306589.4
2016,16,59,36116158.98
2016,16,61,37779581.4
2016,16,63,30068913
2016,16,65,55903542.72
2016,16,67,101177223
2016,16,69,133430826.6
2016,16,71,146853108
2016,16,73,29520352.2
2016,16,75,198076491.6
2016,16,77,144552907.8
2016,16,79,149205426.6
2016,16,81,0
2016,16,83,135016741.2
2016,16,85,104046736.2
2016,16,87,55698721.8
2016,17,1,200028311
2016,17,3,50073320.1
2016,17,5,164218054.9
2016,17,7,338574448.8
2016,17,9,22022377.38
2016,17,11,332007599.9
2016,17,13,0
2016,17,15,29091100.08
2016,17,17,10569406.56
2016,17,19,1020457425
2016,17,21,119139353.8
2016,17,23,258901325.2
2016,17,25,60275694.54
2016,17,27,142283850.5
2016,17,29,248211142.3
2016,17,31,18625172027
2016,17,33,30616540.5
2016,17,35,218679729.6
2016,17,37,302850594.2
2016,17,39,75878999.22
2016,17,41,162838981.5
2016,17,43,5251429704
2016,17,45,58583716.8
2016,17,47,15820251.18
2016,17,49,426037673.8
2016,17,51,307739358.7
2016,17,53,58800432.72
2016,17,55,290660682.4
2016,17,57,111319079.3
2016,17,59,23250131.7
2016,17,61,46365143.52
2016,17,63,460920032.1
2016,17,65,0
2016,17,67,66379527.78
2016,17,69,0
2016,17,71,40515727.86
2016,17,73,374677032.8
2016,17,75,289029178.9
2016,17,77,216745536.7
2016,17,79,0
2016,17,81,518191876.8
2016,17,83,68811572.16
2016,17,85,134287317.8
2016,17,87,171482071.5
2016,17,89,2011358431
2016,17,91,417184393.6
2016,17,93,247429187
2016,17,95,239046290
2016,17,97,3095797022
2016,17,99,785103057.1
2016,17,101,72166595.34
2016,17,103,356838211.1
2016,17,105,316907128
2016,17,107,384226595
2016,17,109,100044987.4
2016,17,111,1107744150
2016,17,113,1057286907
2016,17,115,436542689.9
2016,17,117,204033599.1
2016,17,119,1795919526
2016,17,121,314839616
2016,17,123,105763814.2
2016,17,125,22667602.44
2016,17,127,131858867.6
2016,17,129,0
2016,17,131,29778305.34
2016,17,133,226211303.2
2016,17,135,322381880.5
2016,17,137,185164718
2016,17,139,70695235.08
2016,17,141,376796666.9
2016,17,143,858806651.2
2016,17,145,67325407.2
2016,17,147,153949456.4
2016,17,149,171743724.9
2016,17,151,0
2016,17,153,79107240
2016,17,155,8249881.56
2016,17,157,108926581.3
2016,17,159,37527630.66
2016,17,161,600334329.2
2016,17,163,1652176173
2016,17,165,79993820.1
2016,17,167,1202667344
2016,17,169,43804746.6
2016,17,171,52893803.94
2016,17,173,84731704.74
2016,17,175,0
2016,17,177,143640213.6
2016,17,179,594596543.5
2016,17,181,162116021.7
2016,17,183,371762973.8
2016,17,185,47250336.48
2016,17,187,72683497.14
2016,17,189,276964054.7
2016,17,191,157577877.9
2016,17,193,111099204.8
2016,17,195,240366441.1
2016,17,197,3529557168
2016,17,199,451100874.3
2016,17,201,1408089024
2016,17,203,240784021.4
2016,18,1,102776996.6
2016,18,3,1349585957
2016,18,5,556618289.6
2016,18,7,29700053.08
2016,18,9,0
2016,18,11,648700735.1
2016,18,13,55091048.34
2016,18,15,5904639.936
2016,18,17,62438878.61
2016,18,19,769797618.6
2016,18,21,181465546.1
2016,18,23,227827038
2016,18,25,123945211.2
2016,18,27,144590822.5
2016,18,29,327013784.3
2016,18,31,300723538.4
2016,18,33,331104248.3
2016,18,35,570145134.7
2016,18,37,117059053.7
2016,18,39,1038680572
2016,18,41,49521739.07
2016,18,43,342177132.8
2016,18,45,105077452.6
2016,18,47,66548823.28
2016,18,49,71620498.82
2016,18,51,320541419.8
2016,18,53,313856363.2
2016,18,55,94596898.02
2016,18,57,1288613488
2016,18,59,413058693.8
2016,18,61,152921911.4
2016,18,63,545578798.5
2016,18,65,407328186.7
2016,18,67,215139672.9
2016,18,69,264820245.4
2016,18,71,400053099.3
2016,18,73,451206553.1
2016,18,75,40105717.09
2016,18,77,111346015.1
2016,18,79,79202996.95
2016,18,81,691279875.8
2016,18,83,198257969.8
2016,18,85,203201717.7
2016,18,87,207602754.2
2016,18,89,3397522556
2016,18,91,966603543
2016,18,93,212311153.6
2016,18,95,556993201.7
2016,18,97,6253149159
2016,18,99,162669538.5
2016,18,101,77722798.52
2016,18,103,213380327.4
2016,18,105,188891471.6
2016,18,107,228001147.5
2016,18,109,395463331.2
2016,18,111,123913350.9
2016,18,113,123488472.5
2016,18,115,0
2016,18,117,45153817.84
2016,18,119,82859891.44
2016,18,121,0
2016,18,123,135122341.4
2016,18,125,54281094.73
2016,18,127,991694701.6
2016,18,129,168441123.5
2016,18,131,0
2016,18,133,331791748.5
2016,18,135,85360100.39
2016,18,137,172931875.1
2016,18,139,48829308.43
2016,18,141,1195800795
2016,18,143,175642971
2016,18,145,421216865.6
2016,18,147,108995922.2
2016,18,149,23242698.24
2016,18,151,349266628.2
2016,18,153,112728117.5
2016,18,155,0
2016,18,157,703915064.7
2016,18,159,144303998.2
2016,18,161,0
2016,18,163,704227092.5
