Fips_Txt,True_Fips,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
04023,4023,1240905,1249669,1417960,1349351,1410430,1390441,1449690,1484777,1386810,1482508,1536533,1560356,1548914,1528267,1557503,1583884,1759423,1799568,1782054,1798129,1838905
04025,4025,4683581,4877225,5147078,5523920,6014466,6334322,6285186,6440722,5892299,5690890,5607533,5550967,5810124,6058977,6038763,6224311,6645674,6686897,6735652,6796784,7193227
04027,4027,4812243,5572289,5424232,6026612,6435807,6581377,6952494,6447459,6335929,6628188,6461110,6031943,6418923,6296773,6684338,6985127,7294181,7362446,7460962,7550525,7521194
05001,5001,720546,760498,836814,881251,839047,877891,825971,857555,929894,903409,896295,902291,991485,942168,967377,1001794,940606,971280,974042,1016959,1052969
05003,5003,778763,800095,773168,791548,835457,908398,899744,889009,839784,861797,898014,859936,847795,806306,768127,777666,692088,681181,681384,646149,638769
05005,5005,979393,1008238,1004353,1022827,1094730,1140782,1153591,1184285,1088022,1124397,1142651,1091372,1110937,1153267,1148635,1166983,1269211,1295133,1299372,1288693,1364252
05007,5007,6742365,7443128,7859797,8473456,9161349,9389886,9385348,9302164,8949510,9455393,9802254,10281522,10983054,11582241,12199019,12331775,13141719,13627346,14119284,14751414,16062651
05009,5009,1017403,1055264,1037448,1089822,1140247,1185656,1166164,1164806,1080765,1132024,1144700,1123407,1101563,1128570,1093033,1131645,1171049,1176790,1166481,1170452,1217234
05011,5011,254205,267148,294986,310631,316392,299522,289769,267561,247234,275611,268092,292585,284950,286337,297498,292350,293939,314016,298606,295646,308359
05013,5013,291224,302541,328677,355524,361423,392022,373840,426873,386041,379492,346962,268857,283914,302657,332297,333444,329871,321292,309600,318180,349137
05015,5015,650497,684270,712315,832883,841487,821597,731382,712693,635608,682786,686290,672171,726283,793108,760072,725594,773762,779726,792450,776291,869796
05017,5017,303907,293534,319050,316427,319373,308091,307738,288806,318082,308597,315938,330484,311327,255803,226434,261490,250494,245370,246968,258645,253326
05019,5019,702287,698063,714630,711804,728414,712016,731317,769979,778149,740097,729177,704481,723827,725714,692624,697879,702551,729044,704717,690844,690620
05021,5021,368949,391019,445254,426711,421025,422854,379919,389507,444699,420712,370958,377406,388956,346285,304776,295065,335837,312321,296638,323321,326088
05023,5023,458422,511068,489945,508506,535805,543065,550842,604033,622653,747085,830831,809978,825605,871949,849823,765562,725573,699934,723109,694163,726944
05025,5025,105765,114580,102170,124416,131005,113990,116525,123337,112976,108226,80917,109317,117409,132477,143777,134575,133845,152715,120471,98436,138322
05027,5027,705548,758980,768045,803980,828235,891803,904839,899790,808546,818630,865369,890930,870592,879193,863659,835133,835919,862631,825139,791061,821461
05029,5029,470439,482902,475482,501350,515097,527171,616520,753245,850938,868053,916157,925030,923079,962138,916958,867157,778222,770466,750513,758714,833848
05031,5031,2830231,2991574,3189546,3344326,3498833,3527779,3410308,3444173,3429629,3652334,3795025,3759055,3878198,3822827,3901887,3931740,4050674,4183250,4339546,4416959,4687736
05033,5033,1299723,1310354,1374727,1436334,1512140,1599335,1553597,1508935,1492460,1588555,1573296,1560255,1575289,1563791,1493167,1476409,1507410,1522003,1547971,1531378,1603953
05035,5035,1483944,1392544,1465443,1474279,1513600,1599877,1559747,1494894,1447699,1443790,1481457,1404705,1519123,1540197,1542186,1521610,1625605,1633183,1650466,1571119,1614477
05037,5037,417919,400008,457499,503337,462260,465419,411964,412458,423393,407206,416187,433437,466543,435411,402410,403169,426382,396739,400021,424384,410290
05039,5039,184551,190108,193467,196221,215329,207498,214318,211133,194016,196745,191872,192572,193119,194497,198432,203213,201198,198132,190101,205448,213031
05041,5041,431189,431893,504460,477094,488146,488965,488116,499692,535127,552332,547109,513966,543226,488006,545126,596167,509652,503611,520072,536852,516189
05043,5043,454205,462338,505145,521577,539934,533001,515764,523575,499713,533144,555082,562909,566709,544328,571913,598984,577392,577190,564722,549342,563856
05045,5045,2247228,2368212,2461065,2666579,2828960,3138856,3290837,3313560,3397369,3607728,3719713,3737392,3653648,3626938,3597895,3532081,3493386,3580550,3574897,3482480,3574870
05047,5047,411486,431766,446668,497498,513990,502369,492604,464046,415170,398327,401414,403642,411162,438093,446247,416272,403706,413686,414965,431380,434902
05049,5049,141318,151738,157391,161361,174769,184113,169483,165542,173040,174278,177256,170840,168107,169258,159570,156787,154902,163612,164931,164097,169793
05051,5051,2536850,2641908,2717741,2781810,2888921,2904114,2869189,2756952,2715028,2804029,3006322,2948323,2903613,2911514,2913052,2929034,2993577,3052200,3065063,3047435,3164010
