CountyFIPS,1FTA_UZA_Code,1FTA_UZA_Desc,2FTA_UZA_Code,2FTA_UZA_Desc,3FTA_UZA_Code,3FTA_UZA_Desc,4FTA_UZA_Code,4FTA_UZA_Desc
17097,3,"Chicago, IL-IN",,,,,,
17111,3,"Chicago, IL-IN",,,,,,
17113,243,"Bloomington-Normal, IL",,,,,,
17115,313,"Decatur, IL",,,,,,
17143,139,"Peoria, IL",,,,,,
17161,134,"Davenport, IA-IL",,,,,,
17163,20,"St. Louis, MO-IL",,,,,,
17167,206,"Springfield, IL",,,,,,
17183,492,"Danville, IL-IN",,,,,,
17199,408,"Carbondale, IL",,,,,,
17201,432,"Beloit, WI-IL",,,,,,
18003,119,"Fort Wayne, IN",,,,,,
18005,467,"Columbus, IN",,,,,,
18011,33,"Indianapolis, IN",,,,,,
18029,30,"Cincinnati, OH-KY-IN",,,,,,
18035,330,"Anderson, IN",,,,,,
18039,227,"Elkhart, IN-MI",,,,,,
18043,43,"Louisville/Jefferson County, KY-IN",,,,,,
18057,33,"Indianapolis, IN",,,,,,
18059,33,"Indianapolis, IN",,,,,,
18061,437,"Kokomo, IN",,,,,,
18063,33,"Indianapolis, IN",,,,,,
18081,467,"Columbus, IN",,,,,,
18089,3,"Chicago, IL-IN",,,,,,
18091,418,"Michigan City-La Porte, IN-MI",,,,,,
18095,330,"Anderson, IN",,,,,,
18097,33,"Indianapolis, IN",,,,,,
18105,286,"Bloomington, IN",,,,,,
18109,33,"Indianapolis, IN",,,,,,
18127,3,"Chicago, IL-IN",,,,,,
18129,159,"Evansville, IN-KY",,,,,,
18135,322,"Muncie, IN",,,,,,
18145,467,"Columbus, IN",,,,,,
18147,136,"South Bend, IN-MI",,,,,,
18157,223,"Lafayette, IN",,,,,,
18163,159,"Evansville, IN-KY",,,,,,
18167,316,"Terre Haute, IN",,,,,,
19013,278,"Waterloo, IA",,,,,,
19015,445,"Ames, IA",,,,,,
19061,409,"Dubuque, IA-IL",,,,,,
19103,290,"Iowa City, IA",,,,,,
19113,193,"Cedar Rapids, IA",,,,,,
19153,85,"Des Moines, IA",,,,,,
19163,134,"Davenport, IA-IL",,,,,,
19169,445,"Ames, IA",,,,,,
19193,292,"Sioux City, IA-NE-SD",,,,,,
20035,332,"Lawrence, KS",,,,,,
20043,354,"St. Joseph, MO-KS",,,,,,
20077,217,"Topeka, KS",,,,,,
20149,469,"Manhattan, KS",,,,,,
20173,83,"Wichita, KS",,,,,,
20209,31,"Kansas City, MO-KS",,,,,,
21015,30,"Cincinnati, OH-KY-IN",,,,,,
21019,178,"Huntington, WV-KY-OH",,,,,,
21029,43,"Louisville/Jefferson County, KY-IN",,,,,,
21037,30,"Cincinnati, OH-KY-IN",,,,,,
21047,208,"Clarksville, TN-KY",,,,,,
21059,391,"Owensboro, KY",,,,,,
21067,131,"Lexington-Fayette, KY",,,,,,
21089,178,"Huntington, WV-KY-OH",,,,,,
21093,379,"Elizabethtown-Radcliff, KY",,,,,,
21101,159,"Evansville, IN-KY",,,,,,
21111,43,"Louisville/Jefferson County, KY-IN",,,,,,
21113,131,"Lexington-Fayette, KY",,,,,,
21117,30,"Cincinnati, OH-KY-IN",,,,,,
21163,379,"Elizabethtown-Radcliff, KY",,,,,,
21185,43,"Louisville/Jefferson County, KY-IN",,,,,,
21211,43,"Louisville/Jefferson County, KY-IN",,,,,,
21227,364,"Bowling Green, KY",,,,,,
22005,68,"Baton Rouge, LA",,,,,,
22017,126,"Shreveport, LA",,,,,,
22033,68,"Baton Rouge, LA",,,,,,
22035,228,"Lake Charles, LA",,,,,,
22043,346,"Alexandria, LA",,,,,,
22047,68,"Baton Rouge, LA",,,,,,
22051,410,"Hammond, LA",,,,,,
22053,272,"Monroe, LA",,,,,,
22055,148,"Lafayette, LA",,,,,,
22063,68,"Baton Rouge, LA",,,,,,
22071,49,"New Orleans, LA",,,,,,
22079,346,"Alexandria, LA",,,,,,
22087,49,"New Orleans, LA",,,,,,
22089,49,"New Orleans, LA",318,"Slidell, LA",,,,
22109,226,"Houma, LA",,,,,,
22121,68,"Baton Rouge, LA",,,,,,
23001,446,"Lewiston, ME",,,,,,
23005,177,"Portland, ME",,,,,,
23019,441,"Bangor, ME",,,,,,
23027,329,"Portsmouth, NH-ME",,,,,,
